Country,Reactor,Reactor Type,Emission Type,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,Atucha 1,PHWR,CO2,0,0,0.173059361,0.430648402,0.439926941,0.280730594,0.495307763,0.457296804,0.39826484,0.483579909,0.320292237,0.430319635,0.311620091,0.268575342,0.40273242,0.256767123,0.147598174,0,0.314628311,0.497148858,0.407349772,0.439024658,0.484357991,0.487983562,0.372383562,0.496829224,0.433673059,0.254885845,0.306456621,0.260449315,0.184748858,0.369059361,0.497718721,0.364924201,0.3836621,0.496573516,0.453198174,0.437841096,0.50826484,0.426385388,0.452485845,0.44740274,0.480677626,0.356410959,0.452387215
Argentina,Atucha 2,PHWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19969863,0.717063014,0.94987032
Argentina,Embalse,PHWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0.148931507,0.461565297,0.690149772,0.559209132,0.835990868,0.832982648,0.850955251,0.913377169,0.821700457,0.795247489,0.871830137,0.942080365,0.711947032,0.893510502,0.865210959,0.832042009,0.95009863,0.742370776,0.936641096,0.801008219,0.913998174,0.838277626,0.798626484,0.922757991,0.731273059,0.797919635,0.948389041,0.713915982,0.650109589,0.62566758,0.600126027,0.280020091,0.117143379,0
Armenia,Armenia 1-2,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036288,0.033784417,0.00902605,0,0,0,0,0,0,0.016094093,0.010969557,0.010866071,0.014501469,0.014126652,0.013926433,0.015947726,0.015323671,0.016850476,0.019212526,0.018576811,0.01801075,0.01738217,0.017570345,0.017540581,0.018079869,0.016289864,0.016628395,0.017380272,0.01972273,0.016837229
Armenia,Armenia 1-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093312,0.086874214,0.023209841,0,0,0,0,0,0,0.041384811,0.02820743,0.027941326,0.03728949,0.036325677,0.035810827,0.041008438,0.039403726,0.043329797,0.049403638,0.047768942,0.046313359,0.044697009,0.045180888,0.045104351,0.04649109,0.04188822,0.042758728,0.044692128,0.05071559,0.043295731
Belgium,Doel 1-4,PWR,CO2,0,0,0.000876822,0.025078028,0.039352657,0.041476822,0.042052164,0.043191343,0.043595617,0.044398795,0.064419178,0.088564383,0.100638904,0.127215124,0.149983726,0.138597776,0.152890357,0.139721534,0.147211496,0.153497764,0.154293655,0.139743704,0.129255057,0.149234707,0.150195529,0.16650994,0.171022772,0.172818685,0.170900953,0.171838148,0.167491167,0.167380471,0.164514652,0.168206586,0.166239529,0.17418355,0.15787006,0.162941819,0.168961743,0.174824329,0.139772241,0.158951321,0.107735712,0.085737792,0.169689206
Belgium,Doel 1-4,PWR,CH4,0,0,0.002254685,0.064486356,0.101192548,0.106654685,0.108134137,0.111063452,0.112103014,0.114168328,0.165649315,0.227736986,0.258785753,0.327124603,0.385672438,0.356394279,0.39314663,0.359283946,0.378543847,0.394708537,0.396755112,0.359340953,0.332370148,0.383746389,0.386217074,0.428168416,0.439772844,0.444390904,0.439459595,0.441869523,0.430691573,0.430406926,0.423037677,0.432531222,0.427473074,0.447900559,0.405951584,0.418993249,0.434473052,0.449548274,0.359414335,0.408731967,0.277034688,0.220468608,0.436343674
Belgium,Tihange 1-3,PWR,CO2,0,0,0,0.023752438,0.033826302,0.044817643,0.048873424,0.03957589,0.047354521,0.049204822,0.048963792,0.087068493,0.101490411,0.096772603,0.136179726,0.166849315,0.160321096,0.160482192,0.164133698,0.158503014,0.162169864,0.165852055,0.167248219,0.152273972,0.166102597,0.177616428,0.166204931,0.185505753,0.180542466,0.166266302,0.178133776,0.178378641,0.180735934,0.179571978,0.173706017,0.17756503,0.174744164,0.181953819,0.181832153,0.1776096,0.155297512,0.152745907,0.138462845,0.104702438,0.148133395
Belgium,Tihange 1-3,PWR,CH4,0,0,0,0.061077699,0.086981917,0.11524537,0.125674521,0.101766575,0.121768767,0.126526685,0.125906893,0.223890411,0.260975342,0.248843836,0.350176438,0.429041096,0.412254247,0.412668493,0.422058083,0.407579178,0.41700822,0.426476712,0.430066849,0.391561644,0.427120964,0.456727956,0.42738411,0.477014795,0.464252054,0.427541917,0.458058279,0.458687935,0.464749546,0.461756515,0.446672614,0.456595791,0.449342137,0.467881249,0.467568395,0.4567104,0.39933646,0.392775189,0.356047315,0.269234842,0.380914445
Brazil,Angra 1-2,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0.000396603,0.001246576,0.011855736,0.024313052,0.001015364,0.006985117,0.004346828,0.013003507,0.015766992,0.010021315,0.011555715,0.003089205,0.000317972,0.017901896,0.017558224,0.022936757,0.023733414,0.027859464,0.042852274,0.103710619,0.099829052,0.09632023,0.082925874,0.070552636,0.099599836,0.089373085,0.10132594,0.093769852,0.105664789,0.113493896,0.116375748,0.10571005,0.110952038,0.106565827,0.11484191
Brazil,Angra 1-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0.001019836,0.003205479,0.03048618,0.062519277,0.002610937,0.017961732,0.011177556,0.033437589,0.040543693,0.025769096,0.029714696,0.007943672,0.000817644,0.046033447,0.045149721,0.05898023,0.061028778,0.07163862,0.110191562,0.266684449,0.256703277,0.247680591,0.213237962,0.181421063,0.256113863,0.229816504,0.260552416,0.241122477,0.271709458,0.291841447,0.299251923,0.271825841,0.285305242,0.274026413,0.29530777
Bulgaria,Kozloduy 1-6,PWR,CO2,0,0,0.007112,0.015700712,0.035277698,0.04175989,0.04198274,0.043944657,0.043767452,0.064691507,0.076174576,0.087317808,0.090466466,0.093333972,0.085650926,0.088294893,0.113196252,0.103410674,0.103647485,0.093227803,0.081539145,0.095245721,0.108332997,0.124457469,0.128948515,0.126127496,0.118869436,0.111650498,0.128789797,0.140145064,0.144413567,0.123369688,0.119782696,0.133306926,0.139265096,0.105055617,0.113085786,0.109076724,0.10921051,0.117094772,0.114001424,0.102150981,0.115175827,0.112705622,0.115708656
Bulgaria,Kozloduy 1-7,PWR,CH4,0,0,0.018288,0.04037326,0.090714083,0.107382575,0.107955616,0.113000548,0.112544877,0.166349589,0.195877479,0.224531507,0.232628054,0.240001644,0.220245238,0.227044011,0.291076077,0.265913162,0.266522104,0.239728636,0.209672088,0.244917567,0.278570564,0.32003349,0.331581896,0.324327847,0.305664263,0.287101283,0.331173764,0.36037302,0.371349173,0.31723634,0.308012647,0.342789238,0.358110247,0.270143014,0.290792022,0.280483003,0.280827025,0.301100844,0.293146521,0.262673951,0.296166413,0.289814458,0.297536544
China - Taiwan,CHANGJIANG-1,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000335462,0.027748627
China - Taiwan,CHANGJIANG-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000862618,0.071353613
China - Taiwan,CHANGJIANG-1,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014047958
China - Taiwan,CHANGJIANG-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036123322
China - Taiwan,DAYA BAY-1,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045393676,0.028564833,0.047965688,0.049795736,0.046337852,0.051578685,0.053595683,0.053770279,0.056669315,0.056772953,0.057848,0.063368143,0.050899781,0.057857436,0.063329786,0.057067298,0.056218707,0.063077557,0.053331715,0.054849392,0.06326857,0.050489524,0.055508043
China - Taiwan,DAYA BAY-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116726597,0.073452427,0.12334034,0.12804618,0.119154477,0.132630904,0.137817468,0.138266433,0.145721096,0.145987595,0.148752,0.162946652,0.130885151,0.148776263,0.162848022,0.146744483,0.144562389,0.16219943,0.137138696,0.141041293,0.162690609,0.129830203,0.14273497
China - Taiwan,DAYA BAY-2,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044042159,0.048661162,0.040480329,0.045374115,0.04801463,0.052083529,0.053664264,0.056425524,0.051619112,0.053568603,0.04878045,0.050530257,0.063078936,0.056338838,0.055036186,0.063077557,0.058958334,0.0545664,0.063709436,0.054399857,0.047944976,0.062851792,0.055924592
China - Taiwan,DAYA BAY-3,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113251265,0.125128701,0.104092274,0.116676296,0.123466191,0.133929074,0.13799382,0.145094203,0.13273486,0.137747836,0.125435441,0.129934948,0.16220298,0.144871299,0.141521622,0.16219943,0.151607146,0.1403136,0.163824263,0.139885348,0.123287079,0.161618893,0.143806093
China - Taiwan,FANGCHENGGANG-1,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506915,0.054786641
China - Taiwan,FANGCHENGGANG-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013034959,0.140879935
China - Taiwan,FANGCHENGGANG-2,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020315702
China - Taiwan,FANGCHENGGANG-3,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052240378
China - Taiwan,FANGJIASHAN-1,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055081219,0.060045686
China - Taiwan,FANGJIASHAN-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141637421,0.154403194
China - Taiwan,FANGJIASHAN-2,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056771366,0.056190557
China - Taiwan,FANGJIASHAN-3,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145983514,0.144490003
China - Taiwan,FUQING-1,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007924896,0.046275802,0.05110607
China - Taiwan,FUQING-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020378304,0.118994918,0.13141561
China - Taiwan,FUQING-2,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015474547,0.04657081
China - Taiwan,FUQING-2,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039791693,0.11975351
China - Taiwan,FUQING-3,PWR,CO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012491136
China - Taiwan,FUQING-3,PWR,CH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032120064
