Country,Reactor,Reactor Type,Emission Type,Year,Emissions [TBq yr^-1],Electricity Supplied [GW.h],Annual Time On Line [h],RX_PRIS,H_yr,EF [TBq GWa^-1]
Argentina,Atucha 1,PHWR,CO2,1974,0.173059361,947.5,4458.0,ATUCHA-1,8760,1.6000000024907652
Argentina,Atucha 1,PHWR,CO2,1975,0.430648402,2357.8,7730.0,ATUCHA-1,8760,1.6000000006446686
Argentina,Atucha 1,PHWR,CO2,1976,0.439926941,2408.6,7808.0,ATUCHA-1,8784,1.6043835629593957
Argentina,Atucha 1,PHWR,CO2,1977,0.280730594,1537.0,4650.0,ATUCHA-1,8760,1.600000002238126
Argentina,Atucha 1,PHWR,CO2,1978,0.495307763,2711.81,8026.0,ATUCHA-1,8760,1.600000001430779
Argentina,Atucha 1,PHWR,CO2,1979,0.457296804,2503.7,7551.0,ATUCHA-1,8760,1.6000000012142033
Argentina,Atucha 1,PHWR,CO2,1980,0.39826484,2180.5,6947.0,ATUCHA-1,8784,1.6043835609080486
Argentina,Atucha 1,PHWR,CO2,1981,0.483579909,2647.6,8120.0,ATUCHA-1,8760,1.6000000010726696
Argentina,Atucha 1,PHWR,CO2,1982,0.320292237,1753.6,5600.0,ATUCHA-1,8760,1.5999999977874089
Argentina,Atucha 1,PHWR,CO2,1983,0.430319635,2356.0,8101.0,ATUCHA-1,8760,1.6000000011035653
Argentina,Atucha 1,PHWR,CO2,1984,0.311620091,1706.12,8678.0,ATUCHA-1,8784,1.6043835599746794
Argentina,Atucha 1,PHWR,CO2,1985,0.268575342,1470.45,7159.0,ATUCHA-1,8760,1.599999997225339
Argentina,Atucha 1,PHWR,CO2,1986,0.40273242,2204.96,7532.0,ATUCHA-1,8760,1.5999999996371816
Argentina,Atucha 1,PHWR,CO2,1987,0.256767123,1405.8,4391.0,ATUCHA-1,8760,1.5999999982074264
Argentina,Atucha 1,PHWR,CO2,1988,0.147598174,808.1,2515.0,ATUCHA-1,8784,1.604383566905086
Argentina,Atucha 1,PHWR,CO2,1990,0.314628311,1722.59,7201.0,ATUCHA-1,8760,1.6000000025310726
Argentina,Atucha 1,PHWR,CO2,1991,0.497148858,2721.89,8390.0,ATUCHA-1,8760,1.5999999985598243
Argentina,Atucha 1,PHWR,CO2,1992,0.407349772,2230.24,7089.0,ATUCHA-1,8784,1.6043835628667769
Argentina,Atucha 1,PHWR,CO2,1993,0.439024658,2403.66,7287.0,ATUCHA-1,8760,1.6000000016974116
Argentina,Atucha 1,PHWR,CO2,1994,0.484357991,2651.86,7916.0,ATUCHA-1,8760,1.6000000004374288
Argentina,Atucha 1,PHWR,CO2,1995,0.487983562,2671.71,8376.0,ATUCHA-1,8760,1.6000000011677913
Argentina,Atucha 1,PHWR,CO2,1996,0.372383562,2038.8,6990.0,ATUCHA-1,8784,1.6043835631783403
Argentina,Atucha 1,PHWR,CO2,1997,0.496829224,2720.14,8329.0,ATUCHA-1,8760,1.6000000008234871
Argentina,Atucha 1,PHWR,CO2,1998,0.433673059,2374.36,7242.0,ATUCHA-1,8760,1.5999999986691151
Argentina,Atucha 1,PHWR,CO2,1999,0.254885845,1395.5,4364.0,ATUCHA-1,8760,1.600000001576496
Argentina,Atucha 1,PHWR,CO2,2000,0.306456621,1677.85,5038.0,ATUCHA-1,8784,1.6043835616199302
Argentina,Atucha 1,PHWR,CO2,2001,0.260449315,1425.96,4407.0,ATUCHA-1,8760,1.599999999579231
Argentina,Atucha 1,PHWR,CO2,2002,0.184748858,1011.5,3030.0,ATUCHA-1,8760,1.5999999961245674
Argentina,Atucha 1,PHWR,CO2,2003,0.369059361,2020.6,6094.0,ATUCHA-1,8760,1.6000000011679698
