Reactor,Reactor Type,EF_mean,EF_std,n_years
Aktau,FBR,0.12009392545592733,0.0001604147534005071,7
Almaraz 1-2,PWR,0.06724602743141014,8.08526183319718e-05,36
Angra 1-2,PWR,0.06724734017254146,8.164389843491448e-05,35
Arkansas One 1-2,PWR,0.06724803079928936,8.212532610850038e-05,42
Armenia 1-2,PWR,0.06725359605657606,8.55610397646501e-05,24
Asco 1-2,PWR,0.0672487350086005,8.244628746226175e-05,34
Atucha 1,PHWR,1.601148076037801,0.0019506879413314835,42
Atucha 2,PHWR,1.601461187278584,0.0025308509740199076,3
Balakovo 1-4,PWR,0.06724602758679145,8.099725173269439e-05,32
Beaver Valley 1-2,PWR,0.06724091622602128,9.373358957375346e-05,39
Belleville 1-2,PWR,0.06724909597468981,8.280813721235388e-05,30
Beloyarsk-3,FBR,0.12008454012672003,0.00014578829358944789,35
Beloyarsk-4,FBR,0.1201644246834474,0.00023241373207969293,2
Beznau 1-2,PWR,0.06724909599164136,8.233649102979898e-05,45
Biblis A,PWR,0.1440567109883857,0.04295139539224384,37
Biblis B,PWR,0.06724332024135342,7.927033598083654e-05,34
Bilibino 1,LWGR,1.3009328083385676,0.0015849162090061815,42
Bilibino 2,LWGR,1.300932831606946,0.0015849378769080763,42
Bilibino 3,LWGR,1.300932445513268,0.0015851721831234835,42
Bilibino 4,LWGR,1.300940902077368,0.0015757533562239694,41
Blayais 1-4,PWR,0.06724602740304962,8.085266047254894e-05,36
Bohunice B 1-4,PWR,0.06724695377353997,8.16087868904551e-05,39
Borssele,PWR,0.06724821929445736,8.192883980263873e-05,42
Braidwood 1-2,PWR,0.042433721970602384,0.011244540493472661,30
Brokdorf,PWR,0.06724751226551247,8.189244917838904e-05,31
Browns Ferry 1-3,BWR,0.510358271924014,0.0006180907039192088,39
Bruce 1-8,PHWR,1.6010958904126142,0.001922318967448668,40
Brunsbüttel,BWR,0.5103622524332677,0.0006239826525390762,27
Brunswick 1-2,BWR,0.502869850376241,0.2122799564460891,40
Bugey 2-5,PWR,0.06724632832731306,8.214763505436058e-05,39
Bushehr-1,PWR,0.0672613794416142,9.506780591292152e-05,6
Byron 1-2,PWR,0.06724577362288926,8.11651514270694e-05,32
CHANGJIANG-1,PWR,0.056232561389965456,0.01915567835420691,3
Callaway 1,PWR,0.06724936414015642,8.386041765814189e-05,33
Calvert Cliffs 1-2,PWR,0.06727781926312268,0.00022699465384901026,42
Catawba 1-2,PWR,0.06724521971681144,8.153180469319637e-05,32
Cattenom 1-4,PWR,0.06724751123481132,8.189301366210786e-05,31
Cernavoda,PHWR,1.6012524461615587,0.0020291948352704012,21
Chasnupp 1-4,PWR,0.06725260260749254,8.631153579329747e-05,14
Chinon B1-B4,PWR,0.06724734423214378,8.16404193251651e-05,35
Chinshan 1,BWR,0.5103224445327817,0.0006003591335085601,26
Chinshan 2,BWR,0.5103493150266329,0.0006161336769151659,28
Chooz B1-B2,PWR,0.0672460273928838,8.179270942067931e-05,20
Chooz-A,GCR,5.503766034188135,0.006696131026207997,20
Civaux,PWR,0.06725114149693368,8.485404891422042e-05,18
Clinton 1 (from 1987),BWR,0.5103992172725512,0.0006428008309477218,28
Cofrentes,BWR,0.4985557236455073,0.03717641304440451,10
Columbia (from 1984),BWR,0.5103810710800233,0.0006319348192750986,33
Comanche Peak 1-2,PWR,0.06724711035471909,8.262722567710998e-05,27
Cooper 1974,BWR,0.5103574386657397,0.0006168645399526645,43
Cruas 1-4,PWR,0.0672487350205807,8.244627104414758e-05,34
Crystal River 3,PWR,0.06724602731431707,8.099737281953753e-05,32
DAYA BAY-1,PWR,0.06724802857798673,8.26611226808361e-05,23
DAYA BAY-2,PWR,0.06724802872690139,8.266131737999404e-05,23
Dampierre 1-4,PWR,0.0672497593749895,8.289093466566896e-05,37
Darlington 1-4,PHWR,1.6011364789571771,0.0019575939615237748,27
Davis-Besse 1,PWR,0.06724924019553764,8.121940902187348e-05,39
Diablo Canyon 1-2,PWR,0.06725180949970713,8.251336627906753e-05,33
Dodewaard,BWR,0.5103493146136345,0.0006207510752392568,20
Doel 1-4,PWR,0.06724709846693544,8.128058952738213e-05,43
Donald Cook 1-2,PWR,0.0672471838064357,8.146485209454862e-05,39
Dounreay DFR,FBR,0.12010960029670814,0.00016972861812574843,6
Dounreay PFR,FBR,0.12005479249685326,0.0001279750252057165,12
Dresden 2-3,BWR,0.5103726027056071,0.0006248737908615807,45
Duane Arnold 1974,BWR,0.5103574388181269,0.0006168645677650659,43
Dukovany 1-4,PWR,0.06724602723132503,8.099736597841085e-05,32
Dungeness AA-AB,GCR,5.5036372237303395,0.006562242271172915,29
Dungeness B1-B2,AGR,1.4010460772111044,0.0017347224102170521,33
Embalse,PHWR,1.6010626816317781,0.001907700423192868,33
Emsland,PWR,0.06725078885816281,8.374388501604759e-05,29
Enrico Fermi (Trino),PWR,0.06724602753649474,8.326694289531818e-05,12
FANGCHENGGANG-1,PWR,0.06729205019559939,0.0001301914759579521,2
FANGCHENGGANG-2,PWR,0.06738402989389419,,1
FANGJIASHAN-1,PWR,0.06729207386676668,0.0001302076913533463,2
FANGJIASHAN-2,PWR,0.06729207086700303,0.00013016847251784018,2
FUQING-1,PWR,0.06726130969886548,0.00010635898875165141,3
FUQING-2,PWR,0.0672920044633116,0.00013022071883954796,2
FUQING-3,PWR,0.06738405992962028,,1
Farley 1-2,PWR,0.067246530352148,8.051812563418935e-05,40
Fermi 2 1988,BWR,0.5103992171864655,0.0006428008165664887,28
Fessenheim 1-2,PWR,0.0670738962873021,0.0010990611593641058,40
Fitz Patrick 1975,BWR,0.5103407952599874,0.0006074858924193059,41
Flamanville 1-2,PWR,0.06724603272730958,8.099426624830012e-05,32
Forsmark 1-3,BWR,0.510349315094449,0.0006136138757849616,36
Fort Calhoun 1,PWR,0.0672421890135277,7.916166363950122e-05,43
Fukuschima-Daiichi-1,BWR,0.5103493149813739,0.0006136141280371652,36
Fukuschima-Daiichi-2,BWR,0.510322439907708,0.0005963990131906591,39
Fukuschima-Daiichi-3,BWR,0.5103309301583094,0.000602011671503315,38
Fukuschima-Daiichi-4,BWR,0.5103493150635214,0.0006147125778413616,32
Fukuschima-Daiichi-5,BWR,0.5103193744416527,0.00059529273514536,35
Fukuschima-Daiichi-6,BWR,0.5103493151823251,0.0006147125028631644,32
Fukushima-Daini-1,BWR,0.5103155104328356,0.0005938688842664635,31
Fukushima-Daini-2,BWR,0.510349314990162,0.0006161337908851893,28
Fukushima-Daini-3,BWR,0.5103622501382988,0.0006239826318256352,27
Fukushima-Daini-4,BWR,0.5103353414733469,0.0006090521553306697,25
Genkai 1-4,PWR,0.06724478336602653,8.007996360160978e-05,37
Golfech 1-2,PWR,0.06724773215968817,8.221894930405658e-05,27
Grafenrheinfeld,PWR,0.06724331996500474,7.927068392451344e-05,34
Grand Gulf 1 1984,BWR,0.5103810710057639,0.0006319346882135345,33
Gravelines 1-6,PWR,0.06724975939016908,8.289077703541376e-05,37
Grohnde TOT,PWR,0.06725021145701349,8.326641495409432e-05,33
Gundremmingen B-C,BWR,0.5103810709480378,0.0006319347335210056,33
Gösgen,PWR,0.06724844986126273,8.216040773006408e-05,38
H. B. Robinson 2,PWR,0.06724804823040426,8.312501343282045e-05,45
HONGYANHE-3,PWR,0.06729204182828465,0.00013016409830189602,2
HONGYANHE-4,PWR,0.06738428447684086,,1
Haddam Neck,PWR,0.06725155427616687,8.436327044022954e-05,25
Hamaoka-1,BWR,0.5103493148504941,0.0006161342640372402,28
Hamaoka-2,BWR,0.5103622530690101,0.0006239828379215009,27
