Country,Reactor,Reactor Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bulgaria,Kozloduy 1-6 (TOT 14C),PWR,,,,,,,,,,,,,,,,519,1010,710,557,657,635
Bulgaria,Kozloduy 1-6 (CO2),PWR,,,,,,,,,,,,,,,,33.3,76.2,56.3,49.8,42.7,62.6
Czech Republic,Dukovany 1-4 ,PWR,,,,,,,,,,804,799,744,581,686,751,669,752,750,791,686,738
Czech Republic,Temelin 1-2,PWR,,,,,,,,,,409,412,561,504,442,472,495,1250,861,721,730,584
Finland,Loviisa 1-2,PWR,,,,,320,280,310,370,320,320,270,145,242,329,335,324,324,338,463,399,415
Finland,Olkiluoto 1-2,BWR,,,,,760,760,870,950,680,840,660,770,108,876,779,711,812,878,795,839,1070
France,Belleville 1-2,PWR,,,,,,,429,450,405,463,463,396,429,383,398,345,434,461,384,426,468
France,Blayais 1-4,PWR,,,,,,,,628,502,605,601,635,645,663,513,630,622,574,568,551,475
France,Bugey 2-5,PWR,,,,,,,,517,588,607,606,615,563,600,501,387,502,641,507,581,602
France,Cattenom 1-4,PWR,,,,,,,,876,902,855,917,819,895,839,818,838,821,727,723,864,869
France,Chinon B1-B4,PWR,,,,,,,,615,575,573,582,578,557,586,462,498,613,641,510,603,576
France,Chooz-A ,CGR,,,,,,,,,,,,,,,,,,,,,
France,Chooz B1-B2,PWR,,,,,,,,426,488,492,460,459,507,554,392,459,516,433,490,504,493
France,Civaux,PWR,,,,,,,,455,478,548,461,512,454,506,473,516,459,384,434,466,490
France,Cruas 1-4,PWR,,,,,,,,599,573,572,598,555,466,548,564,553,606,556,615,543,524
France,Dampierre 1-4,PWR,,,,,,,,545,552,566,576,593,579,590,555,596,590,554,561,558,613
France,Fessenheim 1-2,PWR,,,,,,,,227,274,252,280,277,225,244,208,278,170,295,219,289,304
France,Flamanville 1-2,PWR,,,,,,,696,376,416,429,447,427,421,265,392,383,170,409,429,438,386
France,Golfech 1-2,PWR,,,,,,,,454,227,382,442,427,462,405,466,426,444,376,455,357,446
France,Gravelines 1-6,PWR,,,,,,,,822,889,925,914,919,905,900,180,873,897,762,840,813,897
France,La Hague,SFR,,,,,,,,16900,16500,17300,17000,14200,13200,13500,14500,16000,14500,16300,20500,21900,20200
France,Nogent 1-2,PWR,,,,,,,,411,463,378,403,460,191,385,345,438,438,388,444,397,376
France,Paluel 1-4,PWR,,,,,,,871,797,806,757,850,821,669,885,702,785,905,809,828,908,725
France,Penly 1-2,PWR,,,,,,,,372,464,422,419,462,427,480,424,395,423,418,457,369,460
France,St. Alban 1-2,PWR,,,,,,,428,403,426,489,409,392,399,284,415,451,392,423,412,408,437
France,St. Laurent B1-B2,PWR,,,,,,250,328,308,272,308,267,310,296,323,298,323,269,313,196,293,254
France,Tricastin 1-4,PWR,,,,,,,,601,584,563,591,599,644,269,549,612,537,572,594,585,599
Germany,Biblis A (TOT 14C),PWR,300,45,300,120,300,370,74,310,320,130,210,240,85,110,280,100,110,56,52,17,9.8
Germany,Biblis A (CO2),PWR,14,8,8.3,7.1,25,34,12,32,50,14,33,33,38,22,32,17,14,14,25,10,5.6
Germany,Biblis B TOT,PWR,80,270,320,460,100,400,160,200,410,300,350,240,170,150,380,180,250,0.47,38,13,19
Germany,Biblis B (CO2),PWR,14,20,24,33,25,46,34,37,59,42,57,58,74,16,62,20,36,9.7,8.9,4.1,5.6
Germany,Brokdorf (TOT 14C),PWR,260,210,350,310,300,370,280,330,370,290,370,330,270,380,340,350,370,310,310,280,320
Germany,Brokdorf (CO2),PWR,140,90,100,52,52,99,80,100,150,83,110,120,99,120,150,180,210,180,170,150,170
Germany,Brunsbüttel,BWR,75,70,140,110,270,260,320,170,230,260,310,280,220,120,3.4,14,1.5,0.96,2.9,,
Germany,Emsland (TOT 14C),PWR,130,180,250,590,700,320,360,400,480,260,340,250,190,250,360,300,300,280,220,290,300
Germany,Emsland (CO2),PWR,130,170,180,230,330,180,140,200,250,120,150,130,110,150,220,210,210,170,140,180,190
Germany,Grafenrheinfeld (TOT 14C),PWR,110,100,93,52,50,58,50,260,370,320,290,270,220,300,390,300,280,340,290,330,230
Germany,Grafenrheinfeld (CO2),PWR,,,,,,,,,73,52,39,63,25,66,140,140,70,72,77,110,110
Germany,Gundremmingen A (TOT 14C),PWR,,,,,,,,,,,,,,,,0.037,,0.015,,,0.053
Germany,Gundremmingen A (CO2),PWR,,,,,,,,,,,,,,,,,,,,,
Germany,Gundremmingen B-C,BWR,730,1600,1200,1300,900,310,1500,980,1100,800,890,85,860,810,790,840,1000,980,1000,880,850
Germany,Grohnde (TOT 14C),PWR,50,52,4.7,310,330,400,260,360,380,310,310,290,280,360,400,370,390,350,350,270,300
Germany,Grohnde (CO2),PWR,,,,35,19,44,19,39,38,45,49,44,52,52,51,61,72,71,73,26,81
Germany,Krümmel,BWR,74,82,340,210,480,360,250,98,120,170,270,350,190,39,25,29,5.4,2.5,1,8.9,1.3
Germany,Lingen  (TOT 14C),BWR,2.2,0.81,0.5,0.61,0.78,0.68,0.39,0.67,1.2,0.65,2.3,11,0.17,,,,,,,,
Germany,Lingen (CO2),BWR,,,,,,,,,,,,,0.15,,,,,,,,
Germany,Isar 1,BWR,210,200,170,290,290,340,240,310,330,340,350,350,340,280,330,300,110,1.3,1.8,0.58,6
Germany,Isar 2 (TOT 14C),PWR,50,470,520,500,540,580,120,450,350,270,460,490,450,630,170,190,340,290,530,430,210
Germany,Isar 2  (CO2),PWR,,,,,,380,27,170,250,47,120,100,170,440,83,90,130,120,440,310,95
Germany,Mülheim-Kärlich,PWR,3.9,4.9,2.3,3.1,0.51,,,30,9.7,73,0.91,4.8,2.3,0.7,0.63,,0.13,0.33,0.38,0.5,0.28
Germany,Neckarwestheim 1 (TOT 14C),PWR,13,7.4,9.5,130,240,240,170,230,250,280,160,51,200,190,160,93,56,19,47,2.5,2.4
Germany,Neckarwestheim 1 (CO2),PWR,,,,7.4,10,5,6.6,4.9,59,14,6,2.4,9,6,5,5,4,13,12,0.5,0.4
Germany,Neckarwestheim 2 (TOT 14C),PWR,67,180,210,270,270,390,260,220,260,420,210,410,320,250,420,130,200,430,170,200,220
Germany,Neckarwestheim 2 (CO2),PWR,57,120,61,87,110,190,120,100,110,230,94,220,130,110,230,210,120,250,110,150,150
Germany,Niederaichbach,GCR,,,,,,,,,,,,,,,,,,,,,
Germany,Obrigheim (TOT 14C),PWR,9.4,61,34,16,47,84,56,62,60,47,46,5.5,8.6,1.8,3.1,2.5,1.1,0.94,1.3,2.3,2.2
Germany,Obrigheim (CO2),PWR,9.2,7.5,11,11,9.6,13,7.6,17,15,7.9,13,3.2,7.6,1.2,1.8,1.2,0.65,0.59,0.92,1.8,1.7
Germany,Philippsburg 1,BWR,470,580,500,590,620,500,530,550,480,410,410,50,490,430,400,410,110,6,37,16,3.8
Germany,Philippsburg 2 (TOT 14C),PWR,600,190,250,230,180,190,290,220,200,170,220,220,150,110,120,66,220,240,210,230,180
Germany,Philippsburg 2 (CO2),PWR,65,43,66,91,40,50,87,85,56,30,60,70,46,25,29,24,48,50,66,72,39
Germany,Rheinsberg ,BWR,,,,,,,,,,,,,,,,,,,,,
Germany,Stade,PWR,71,160,96,86,190,91,150,95,72,200,80,22,30,37,2.2,5.9,6.7,2.6,,,
Germany,Stade (CO2),PWR,14,22,18,15,26,21,23,14,16,60,3.6,0.65,0.93,1.6,0.22,0.4,,,,,
Germany,Unterweser,PWR,57,51,39,49,37,56,60,69,8.5,38,320,330,290,340,360,380,200,95,27,11,1.1
Germany,Unterweser (CO2),PWR,,,,,,,,,,,34,1.8,2.1,6.1,27,26,18,13,3.9,6.4,0.62
Germany,Würgassen,BWR,15,2.2,0.94,0.54,27,1.3,1.4,1.9,1,0.79,3.3,1.5,2.2,1.4,1.9,1,0.43,0.35,,,
Hungary,Paks 1-4,PWR,,,,,,,,,,692,613,612,565,427,422,561,349,551,639,593,598
Hungary,Paks 1-4 (CO2),PWR,,,,,,,,,,,34.7,47.6,34,21.3,32.1,24,14.6,23,23.5,25.1,22.5
Lithuania,Ignalina ,LWGR,,,,,,,,,,,,,,21.8,30.9,1.42,3.52,2.07,4.39,2.19,4.07
Netherlands,Borssele,PWR,5.6,33,56,86,71,89,116,123,137,96.6,84.7,115,142,122,156,165,177,158,163,,
Netherlands,Dodewaard ,BWR ,,29,11,0.5,0.6,0.46,0.48,0.34,1.3,0.09,0.089,0.116,0.113,,,,,,,,
Romania,Cernavoda ,HWR,,,,,,,,,,,,,280,543,633,578,308,471,410,399,475
Slovakia,Bohunice B 1-4 (TOT 14C),PWR,,,,,,,,,,223,546,527,518,500,467,416,325,448,436,459,378
Slovakia,Bohunice B 1-4  (CO2),PWR,,,,,,,,,,26.4,67.5,63.7,62.1,47.4,403,400,35.2,38.2,15.9,15.7,14
Slovakia,Bohunice A1,PWR,,,,,,,,,,,,,,,,,,,11.3,,
Slovakia,Mochovce (TOT 14C),PWR,,,,,,,,,,85.8,237,238,421,348,309,313,469,499,484,484,441
Slovakia,Mochovce (CO2),PWR,,,,,,,,,,17.2,,,,18.9,16.7,17.4,26.3,29.9,29.5,453,25.3
Slovenia,Krsko,PWR,,,,,,,,,,123,13.5,143,125,25.5,129,132,21.5,139,133,23.1,78.6
South Africa,Koeberg 1-2,PWR,,,,,,,,,,,,,,,,,,,,,
