Country,Reactor,Reactor Type,Emission Type,Year,Emissions [GBq yr^-1]
Bulgaria,Kozloduy 1-6,PWR,CO2,2010,33.3
Bulgaria,Kozloduy 1-6,PWR,CO2,2011,76.2
Bulgaria,Kozloduy 1-6,PWR,CO2,2012,56.3
Bulgaria,Kozloduy 1-6,PWR,CO2,2013,49.8
Bulgaria,Kozloduy 1-6,PWR,CO2,2014,42.7
Bulgaria,Kozloduy 1-6,PWR,CO2,2015,62.6
Czech Republic,Dukovany 1-4 ,PWR,CO2,2004,225.12000000000003
Czech Republic,Dukovany 1-4 ,PWR,CO2,2005,223.72000000000003
Czech Republic,Dukovany 1-4 ,PWR,CO2,2006,208.32000000000002
Czech Republic,Dukovany 1-4 ,PWR,CO2,2007,162.68
Czech Republic,Dukovany 1-4 ,PWR,CO2,2008,192.08
Czech Republic,Dukovany 1-4 ,PWR,CO2,2009,210.28000000000003
Czech Republic,Dukovany 1-4 ,PWR,CO2,2010,187.32000000000002
Czech Republic,Dukovany 1-4 ,PWR,CO2,2011,210.56000000000003
Czech Republic,Dukovany 1-4 ,PWR,CO2,2012,210.00000000000003
Czech Republic,Dukovany 1-4 ,PWR,CO2,2013,221.48000000000002
Czech Republic,Dukovany 1-4 ,PWR,CO2,2014,192.08
Czech Republic,Dukovany 1-4 ,PWR,CO2,2015,206.64000000000001
Czech Republic,Temelin 1-2,PWR,CO2,2004,114.52000000000001
Czech Republic,Temelin 1-2,PWR,CO2,2005,115.36000000000001
Czech Republic,Temelin 1-2,PWR,CO2,2006,157.08
Czech Republic,Temelin 1-2,PWR,CO2,2007,141.12
Czech Republic,Temelin 1-2,PWR,CO2,2008,123.76
Czech Republic,Temelin 1-2,PWR,CO2,2009,132.16000000000003
Czech Republic,Temelin 1-2,PWR,CO2,2010,138.60000000000002
Czech Republic,Temelin 1-2,PWR,CO2,2011,350.00000000000006
Czech Republic,Temelin 1-2,PWR,CO2,2012,241.08
Czech Republic,Temelin 1-2,PWR,CO2,2013,201.88000000000002
