,Country,Reactor,Type,Status,Last-Year,Latitude,Longitude,Source,Table_S1_Zazzeri,Table_S2_Zazzeri,RX_RADD_ENSI_RIFE,RX_Group
0,ARGENTINA,ATUCHA-1,PHWR,Operational,2023,-33.9633333333333,-59.1863888888889,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2
1,ARGENTINA,ATUCHA-2,PHWR,Operational,2023,-33.9633333333333,-59.1863888888889,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5,Atucha 2,,,Atucha 1-2
2,ARGENTINA,EMBALSE,PHWR,Operational,2023,-32.232,-64.443,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4,Embalse,,,Embalse
3,ARMENIA,ARMENIAN-1,PWR,Permanent Shutdown,1989,40.1808444444444,44.1489083333333,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1,Armenia 1-2,,,Armenian 1-2
4,ARMENIA,ARMENIAN-2,PWR,Operational,2023,40.1808444444444,44.1489083333333,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2,Armenia 1-2,,,Armenian 1-2
5,BELARUS,BELARUSIAN-1,PWR,Operational,2023,54.7583,26.09167,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1056,,,,Belarusian 1-2
6,BELARUS,BELARUSIAN-2,PWR,Operational,2023,54.7583,26.09167,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=1061,,,,Belarusian 1-2
7,BELGIUM,BR-3,PWR,Permanent Shutdown,1987,51.2191667,5.102222,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8,,,,BR-3
8,BELGIUM,DOEL-1,PWR,Operational,2023,51.3247222222222,4.25874722222222,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=9,Doel 1-4,,Doel 1-4,Doel 1-4 
9,BELGIUM,DOEL-2,PWR,Operational,2023,51.3247222222222,4.25874722222222,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11,Doel 1-4,,Doel 1-4,Doel 1-4
10,BELGIUM,DOEL-3,PWR,Permanent Shutdown,2022,51.3247222222222,4.25874722222222,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=12,Doel 1-4,,Doel 1-4,Doel 1-4
11,BELGIUM,DOEL-4,PWR,Operational,2023,51.3247222222222,4.25874722222222,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=14,Doel 1-4,,Doel 1-4,Doel 1-4
12,BELGIUM,TIHANGE-1,PWR,Operational,2023,50.5346277777778,5.27253333333333,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=10,Tihange 1-3,,Tihange 1-3,Tihange 1-3
13,BELGIUM,TIHANGE-2,PWR,Permanent Shutdown,2023,50.5346277777778,5.27253333333333,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=13,Tihange 1-3,,Tihange 1-3,Tihange 1-3
14,BELGIUM,TIHANGE-3,PWR,Operational,2023,50.5346277777778,5.27253333333333,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=15,Tihange 1-3,,Tihange 1-3,Tihange 1-3
15,BRAZIL,ANGRA-1,PWR,Operational,2023,-23.0083333333333,-44.4738888888889,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24,Angra 1-2,,,Angra 1-2
16,BRAZIL,ANGRA-2,PWR,Operational,2023,-23.0083333333333,-44.4738888888889,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=25,Angra 1-2,,,Angra 1-2
17,BULGARIA,KOZLODUY-1,PWR,Permanent Shutdown,2002,43.7461111111111,23.7705555555556,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=16,Kozloduy 1-6,Kozloduy 1-6,Kozloduy,Kozloduy 1-6
18,BULGARIA,KOZLODUY-2,PWR,Permanent Shutdown,2002,43.7461111111111,23.7705555555556,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=17,Kozloduy 1-6,Kozloduy 1-6,Kozloduy,Kozloduy 1-6
19,BULGARIA,KOZLODUY-3,PWR,Permanent Shutdown,2006,43.7461111111111,23.7705555555556,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=18,Kozloduy 1-6,Kozloduy 1-6,Kozloduy,Kozloduy 1-6
20,BULGARIA,KOZLODUY-4,PWR,Permanent Shutdown,2006,43.7461111111111,23.7705555555556,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=19,Kozloduy 1-6,Kozloduy 1-6,Kozloduy,Kozloduy 1-6
