name,latitude,longitude,RADD,Stop,PWR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Double-check,UK,Swiss,Source
Almaraz,39.808056,-5.696944,1,,1,110.485162,8.372,39.76,70.84,75.88,63.3,57.6,47.8,85.9,56,52.9,91.2,70.5,35.8,63.28,73.2,61.6,132,80.5,ok,,,RADD
Asco,41.2,0.569444,1,,1,118.038181,467.6,121,104.5,127.68,90.8,119,74.6,74.6,117,163,156,121,219,114.8,69.16,65.24,114.9,76.72,ok,,,RADD
Belleville,47.509722,2.874,1,,1,110.88,120.12,107.24,111.44,96.6,121.52,129.08,107.52,119.28,131.04,110.88,111.44,81.76,89.04,64.4,112.56,130.76,75.32,#N/A,ok,,,RADD
Berkeley,51.6925,-2.4936,1,1989,0,0.166,0.25,0.282,0.224,0.245,0.472,0.524,0.503,0.519,0.916,1.82,1.92,0.514,0.613,0.427,0.47,0.47,#N/A,#N/A,,1,,
Beznau 1-2,47.55222222,8.227777778,0,,0,57,35,26,130,74,42,32,20,36,24,18,18,13,36,26,10,36,14,24,ok,,1,ENSI
Biblis A+B,49.71,8.415278,1,2011,1,70.5,112,38,94,37,50,23.7,33.9,14.1,11.2,36.8,101,104.9,23.1,8.2,3.5,3.1,2.6,#N/A,ok,,,RADD
Blayais,45.255833,-0.693056,1,,1,177.8,180.6,185.64,143.64,176.4,174.16,160.72,159.04,154.28,133,162.12,154.28,219.52,211.4,282.8,296.8,227.64,188.16,#N/A,ok,,,RADD
Bohunice A+B,48.494444,17.681944,1,,1,63.7,62.1,47.4,403,116.48,35.2,38.2,24.61,15.7,14,15.9,17,21.9,14.2,148.68,139.44,127.21,84.72,61.155,ok,,,RADD
Borssele,51.430833,3.718333,1,,1,32.2,39.76,34.16,43.68,46.2,49.56,44.24,45.64,30.24,35.84,42.28,43.96,33.32,35,38.92,34.44,34.44,41.16,#N/A,ok,,,RADD
Bradwell,51.741389,0.896944,1,2002,0,0.563,1.11,1.16,0.624,0.299,0.384,0.42,0.42,0.619,13.7,30.3,21.3,0.555,0.42,0.42,0.42,0.42,#N/A,#N/A,,1,,
Brokdorf,53.850833,9.344722,1,,1,120,99,120,150,180,210,180,170,150,170,190,200,170,150,86.8,130,270,64,#N/A,ok,,,RADD
Brunsbüttel,53.891667,9.201667,1,2011,0,280,220,120,3.4,14,1.5,0.96,2.9,0,0,2.3,5.1,7.6,1.4,4.4,3.5,1.1,0.58,#N/A,ok,,,RADD
Bugey B,45.798333,5.270833,1,,1,172.2,157.64,168,140.28,108.36,140.56,179.48,141.96,162.68,168.56,98.84,122.92,166.32,130.76,101.64,100.8,117.04,178.36,#N/A,ok,,,RADD
Cattenom,49.415833,6.218056,1,,1,229.32,250.6,234.92,229.04,234.64,229.88,203.56,202.44,241.92,243.32,213.08,194.6,236.6,182.56,189.84,185.64,186.76,138.32,#N/A,ok,,,RADD
Cernavoda,44.322222,28.057222,1,,0,945.746119,280,543,633,578,308,471,410,399,475,332,386,378,425,353,389,349,454,#N/A,ok,,,RADD
Chinon B,47.2325,0.1703,1,,1,161.84,155.96,164.08,129.36,139.44,171.64,179.48,142.8,168.84,161.28,156.24,152.6,159.32,190.4,187.88,232.96,322,195.72,#N/A,ok,,,RADD
Chooz B,50.09,4.789444,1,,1,128.52,141.96,155.12,109.76,128.52,144.48,121.24,137.2,141.12,138.04,148.96,136.92,46.76,53.2,54.04,46.2,37.8,10.556,#N/A,ok,,,RADD
Civaux,46.456667,0.652778,1,,1,143.36,127.12,141.68,132.44,144.48,128.52,107.8,121.52,130.48,137.2,120.4,73.36,61.04,66.92,57.12,77,36.4,41.44,#N/A,ok,,,RADD
Cofrentes,39.216667,-1.05,1,,0,0,595,309,289,396,421,229,523,473,200,339,301,260,103,104,111,217,207,148,ok,,,RADD
Cruas,44.633056,4.756667,1,,1,155.4,130.48,153.44,157.92,154.84,169.68,155.68,172.2,152.04,146.72,156.52,186.48,226.24,203.28,150.08,162.68,129.36,103.6,#N/A,ok,,,RADD
Dampierre,47.733056,2.516667,1,,1,166.04,162.12,165.2,155.4,166.88,165.2,155.12,15.708,156.24,171.64,162.4,250.04,238.56,217,211.96,271.04,232.68,152.88,#N/A,ok,,,RADD
Dodewaard,51.89944,5.68611,1,,0,0.116,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,,,RADD
Doel 1-4,51.32472,4.25861,0,,1,166.239529,174.18355,157.87006,162.941819,168.961743,174.824329,139.772241,158.951321,107.735712,85.737792,169.689206,158.5428611,91.36225599,160.0703847,147.7768323,176.2781808,170.420274,#N/A,#N/A,,,,
Dukovany,49.085,16.148889,1,,1,208.32,162.68,192.08,210.28,187.32,210.56,210,221.48,192.08,206.64,161.56,177.24,203.28,186.76,182.84,185.08,31,140,32.58,ok,,,RADD
Dungeness A+B,50.913889,0.963889,1,,0,2531,1040,731.11,664.1,503.222,508.282,528.634,557.452,808.474,856.353,1010.284,1270.954,1062.33,280.49,37.419,11.538,6.326,9.316,#N/A,ok,1,,10.5281/zenodo.15034663
Emsland,52.474231,7.317858,1,,1,141,110.15,150,220,210,210,170,140,180,190,140,180,150,180,83,96,75,280,#N/A,ok,,,RADD
Fessenheim,47.903056,7.563056,1,,1,77.56,63,68.32,58.24,77.84,47.6,82.6,61.32,80.92,85.12,55.72,32.76,49,96.88,96.04,9.688,6.132,2.59,#N/A,ok,,,RADD
Flamanville,49.536389,-1.881667,1,,1,119.56,117.88,74.2,109.76,107.24,47.6,114.52,120.12,122.64,108.08,131.88,92.68,87.36,51.24,27.3,70,140,34.16,#N/A,ok,,,RADD
Forsmark,60.403333,18.166667,1,,0,2220,2490,2080,1960,1960,2110,1770,1730,1910,1640,1620,1675,1730,1930,1830,1920,1900,1840,#N/A,ok,,,RADD
Golfech,44.106667,0.845278,1,,1,119.56,129.36,113.4,130.48,119.28,124.32,105.28,127.4,99.96,124.88,131.88,106.12,89.04,118.72,66.08,101.36,96.88,58.24,#N/A,ok,,,RADD
Gösgen,47.36583333,7.966666667,0,,0,62.130083,62.588898,61.093776,61.925414,61.593019,60.68183,61.936997,49.174136,61.535408,61.148931,63.159178,62.51071869,62.64648323,67.8,58.3,65.6,42.2,45,46,ok,,1,ENSI
Grafenrheinfeld,49.984086,10.184669,1,,1,63,25,66,140,140,70,72,77,110,110,38,2.6,0.9,3.3,0.45,0.34,0.23,#N/A,#N/A,ok,,,RADD
Gravelines,51.015278,2.136111,1,,1,257.32,253.4,252,50.4,244.44,251.16,213.36,235.2,227.64,251.16,209.44,280,313.6,285.6,195.72,369.6,358.4,338.8,#N/A,ok,,,RADD
Grohnde,52.035278,9.413333,1,,1,44,52,52,51,61,72,71,73,26,81,98,23,32,47,48,37,98,3.7,#N/A,ok,,,RADD
Gundremmingen A+B+C,48.514722,10.402222,1,,0,85,860,810,790,840.037,1000,980.015,1000,880,850.029,240.21,250.075,150.03,170.025,150.055,260.011,10.035,0.55,#N/A,ok,,,RADD
Hartlepool,54.635,-1.180833,1,,0,1470,1660,15.2,1170,1930,2210,2170,2250,1760,1810,1660,2600,2230,3010,1712.24,1887.5013,1279.18,1836.409,#N/A,ok,1,,10.5281/zenodo.15034663
Heysham 1-2,54.028889,-2.916111,1,,0,2990,3000,1733,2700,2480,3230,3120,3220,2403,2730,3760,3390,3490,4180,4000.712,2841.82,3590.206,3634.086,#N/A,ok,1,,10.5281/zenodo.15034663
Hinkley Point A+B,51.208739,-3.133743,1,2000,0,1320.687,472.712,1110.731,908.725,1210.71,1170.67,1160.6,1210.51,1660.48,1480.457,1380.38,1700.45,1530.54,1950.604,1053.66,1206.1,1206.82472,0.213667,#N/A,ok,1,,10.5281/zenodo.15034663
Hunterston A+B,55.722222,-4.89,1,,0,1680.184,540.181,1310.128,1320.117,1310.094,1300.08,1390.08,1220.083,1080.08,1530.0577,1470.0564,1970.0604,844.0655,382.062,355.57,1956.68,240.92,21.49,#N/A,ok,1,,10.5281/zenodo.15034663
Ignalina,55.604444,26.56,1,2009,0,1178.988699,1346.724315,21.8,30.9,1.42,3.52,2.07,4.39,2.19,4.07,1.25,1.15,3.82,4.03,105,22.4,24.1,57.8,65,ok,,,RADD
Isar 1-2,48.605606,12.29315,1,,1,450,510,720,413,390,230,121.3,441.8,310.58,101,60.1,98.7,69.44,880.65,250.37,73.043,62.16,120.031,#N/A,ok,,,RADD
José Cabrera 1,40.349167,-2.884444,1,2006,0,3.00381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok,,,RADD
