,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SPAIN,ALMARAZ-1,PWR,Operational,1981,1888.9,3119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
1,SPAIN,ALMARAZ-1,PWR,Operational,1982,2322.6,5864.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
2,SPAIN,ALMARAZ-1,PWR,Operational,1983,3713.9,5925.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
3,SPAIN,ALMARAZ-1,PWR,Operational,1984,4820.5,6062.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
4,SPAIN,ALMARAZ-1,PWR,Operational,1985,4825.17,5705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
5,SPAIN,ALMARAZ-1,PWR,Operational,1986,5425.02,6418.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
6,SPAIN,ALMARAZ-1,PWR,Operational,1987,7193.69,8346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
7,SPAIN,ALMARAZ-1,PWR,Operational,1988,5879.59,6899.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
8,SPAIN,ALMARAZ-1,PWR,Operational,1989,6562.18,7640.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
9,SPAIN,ALMARAZ-1,PWR,Operational,1990,6460.66,7451.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
10,SPAIN,ALMARAZ-1,PWR,Operational,1991,7481.71,8589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
11,SPAIN,ALMARAZ-1,PWR,Operational,1992,6379.06,7387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
12,SPAIN,ALMARAZ-1,PWR,Operational,1993,6530.85,7663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
13,SPAIN,ALMARAZ-1,PWR,Operational,1994,7448.6,8495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
14,SPAIN,ALMARAZ-1,PWR,Operational,1995,6588.46,7709.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
15,SPAIN,ALMARAZ-1,PWR,Operational,1996,5904.3,6789.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
16,SPAIN,ALMARAZ-1,PWR,Operational,1997,6642.83,7371.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
17,SPAIN,ALMARAZ-1,PWR,Operational,1998,8032.46,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
18,SPAIN,ALMARAZ-1,PWR,Operational,1999,6988.63,7613.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
19,SPAIN,ALMARAZ-1,PWR,Operational,2000,7471.57,8014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
20,SPAIN,ALMARAZ-1,PWR,Operational,2001,8151.39,8749.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
21,SPAIN,ALMARAZ-1,PWR,Operational,2002,7427.99,8100.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
22,SPAIN,ALMARAZ-1,PWR,Operational,2003,7499.11,8233.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
23,SPAIN,ALMARAZ-1,PWR,Operational,2004,8185.69,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
24,SPAIN,ALMARAZ-1,PWR,Operational,2005,7519.43,8180.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
25,SPAIN,ALMARAZ-1,PWR,Operational,2006,7152.42,7831.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
26,SPAIN,ALMARAZ-1,PWR,Operational,2007,8189.8,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
27,SPAIN,ALMARAZ-1,PWR,Operational,2008,7190.76,7725.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
28,SPAIN,ALMARAZ-1,PWR,Operational,2009,6880.1,7336.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
29,SPAIN,ALMARAZ-1,PWR,Operational,2010,7884.25,8147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
30,SPAIN,ALMARAZ-1,PWR,Operational,2011,7519.49,7814.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
31,SPAIN,ALMARAZ-1,PWR,Operational,2012,7346.07,7405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
32,SPAIN,ALMARAZ-1,PWR,Operational,2013,7695.84,7882.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
33,SPAIN,ALMARAZ-1,PWR,Operational,2014,7252.45,7351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
34,SPAIN,ALMARAZ-1,PWR,Operational,2015,8438.61,8613.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
35,SPAIN,ALMARAZ-1,PWR,Operational,2016,7447.79,7622.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
36,SPAIN,ALMARAZ-1,PWR,Operational,2017,7753.93,7885.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
37,SPAIN,ALMARAZ-1,PWR,Operational,2018,7844.02,7934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
38,SPAIN,ALMARAZ-1,PWR,Operational,2019,8662.82,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
39,SPAIN,ALMARAZ-1,PWR,Operational,2020,6913.13,7065.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
40,SPAIN,ALMARAZ-1,PWR,Operational,2021,7695.62,7800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
41,SPAIN,ALMARAZ-1,PWR,Operational,2022,8427.99,8564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
42,SPAIN,ALMARAZ-1,PWR,Operational,2023,7735.09,7948.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
43,SPAIN,ALMARAZ-1,PWR,Operational,2024,7285.28,7614.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=153
