,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,BRAZIL,ANGRA-1,PWR,Operational,1982,51.7,413.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
1,BRAZIL,ANGRA-1,PWR,Operational,1983,162.5,1127.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
2,BRAZIL,ANGRA-1,PWR,Operational,1984,1545.48,3771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
3,BRAZIL,ANGRA-1,PWR,Operational,1985,3169.38,6847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
4,BRAZIL,ANGRA-1,PWR,Operational,1986,132.36,512.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
5,BRAZIL,ANGRA-1,PWR,Operational,1987,910.56,1958.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
6,BRAZIL,ANGRA-1,PWR,Operational,1988,566.64,1488.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
7,BRAZIL,ANGRA-1,PWR,Operational,1989,1695.1,5362.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
8,BRAZIL,ANGRA-1,PWR,Operational,1990,2055.34,7400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
9,BRAZIL,ANGRA-1,PWR,Operational,1991,1306.35,5046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
10,BRAZIL,ANGRA-1,PWR,Operational,1992,1506.37,4275.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
11,BRAZIL,ANGRA-1,PWR,Operational,1993,402.7,1524.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
12,BRAZIL,ANGRA-1,PWR,Operational,1994,41.45,305.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
13,BRAZIL,ANGRA-1,PWR,Operational,1995,2333.64,8127.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
14,BRAZIL,ANGRA-1,PWR,Operational,1996,2288.84,5063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
15,BRAZIL,ANGRA-1,PWR,Operational,1997,2989.97,6219.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=24
