,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1975,4898.4,6661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
2,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1976,3888.0,4966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
3,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1977,5103.1,6688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
4,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1978,5249.8,6676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
5,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1979,3323.4,4253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
6,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1980,3781.2,5570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
7,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1981,4900.8,6336.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
8,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1982,3721.4,5671.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
9,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1983,3220.6,4191.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
10,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1984,4604.13,6150.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
11,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1985,5190.35,6852.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
12,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1986,3589.93,5446.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
13,UNITED STATES OF AMERICA,ANO-1,PWR,Operational,1987,4763.34,7720.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=652
