,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
7,ARMENIA,ARMENIAN-2,PWR,Operational,1987,2629.08,7040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
8,ARMENIA,ARMENIAN-2,PWR,Operational,1988,2254.53,6741.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
9,ARMENIA,ARMENIAN-2,PWR,Operational,1989,671.28,1838.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
16,ARMENIA,ARMENIAN-2,PWR,Operational,1996,2097.98,7561.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
17,ARMENIA,ARMENIAN-2,PWR,Operational,1997,1429.96,5700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
18,ARMENIA,ARMENIAN-2,PWR,Operational,1998,1416.47,6408.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
19,ARMENIA,ARMENIAN-2,PWR,Operational,1999,1890.37,6193.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
20,ARMENIA,ARMENIAN-2,PWR,Operational,2000,1841.51,5699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
21,ARMENIA,ARMENIAN-2,PWR,Operational,2001,1815.41,5660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
22,ARMENIA,ARMENIAN-2,PWR,Operational,2002,2078.9,6961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
23,ARMENIA,ARMENIAN-2,PWR,Operational,2003,1997.55,6120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
24,ARMENIA,ARMENIAN-2,PWR,Operational,2004,2196.58,7135.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
25,ARMENIA,ARMENIAN-2,PWR,Operational,2005,2504.49,7658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
26,ARMENIA,ARMENIAN-2,PWR,Operational,2006,2421.62,7632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
27,ARMENIA,ARMENIAN-2,PWR,Operational,2007,2347.83,7447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
28,ARMENIA,ARMENIAN-2,PWR,Operational,2008,2265.89,7013.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
29,ARMENIA,ARMENIAN-2,PWR,Operational,2009,2290.42,7408.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
30,ARMENIA,ARMENIAN-2,PWR,Operational,2010,2286.54,7535.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
31,ARMENIA,ARMENIAN-2,PWR,Operational,2011,2356.84,7552.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
32,ARMENIA,ARMENIAN-2,PWR,Operational,2012,2123.5,7052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
33,ARMENIA,ARMENIAN-2,PWR,Operational,2013,2167.63,7237.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
34,ARMENIA,ARMENIAN-2,PWR,Operational,2014,2265.64,7542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
35,ARMENIA,ARMENIAN-2,PWR,Operational,2015,2571.1,7859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
36,ARMENIA,ARMENIAN-2,PWR,Operational,2016,2194.85,6756.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
37,ARMENIA,ARMENIAN-2,PWR,Operational,2017,2411.39,7341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
38,ARMENIA,ARMENIAN-2,PWR,Operational,2018,1898.08,7169.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
39,ARMENIA,ARMENIAN-2,PWR,Operational,2019,2028.96,6252.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
40,ARMENIA,ARMENIAN-2,PWR,Operational,2020,2551.8,7295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
41,ARMENIA,ARMENIAN-2,PWR,Operational,2021,1850.04,5028.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
42,ARMENIA,ARMENIAN-2,PWR,Operational,2022,2630.85,7110.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
43,ARMENIA,ARMENIAN-2,PWR,Operational,2023,2512.03,6490.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
44,ARMENIA,ARMENIAN-2,PWR,Operational,2024,2629.13,6666.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2
