,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SPAIN,ASCO-1,PWR,Operational,1983,360.8,1294.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
1,SPAIN,ASCO-1,PWR,Operational,1984,4038.42,5771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
2,SPAIN,ASCO-1,PWR,Operational,1985,4429.4,5342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
3,SPAIN,ASCO-1,PWR,Operational,1986,5129.0,6208.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
4,SPAIN,ASCO-1,PWR,Operational,1987,6392.0,7569.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
5,SPAIN,ASCO-1,PWR,Operational,1988,6669.0,7599.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
6,SPAIN,ASCO-1,PWR,Operational,1989,6750.0,7771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
7,SPAIN,ASCO-1,PWR,Operational,1990,6642.0,7699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
8,SPAIN,ASCO-1,PWR,Operational,1991,6836.0,7810.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
9,SPAIN,ASCO-1,PWR,Operational,1992,6875.0,7898.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
10,SPAIN,ASCO-1,PWR,Operational,1993,6599.0,7401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
11,SPAIN,ASCO-1,PWR,Operational,1994,6868.0,7758.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
12,SPAIN,ASCO-1,PWR,Operational,1995,5708.0,6387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
13,SPAIN,ASCO-1,PWR,Operational,1996,7972.0,8755.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
14,SPAIN,ASCO-1,PWR,Operational,1997,6411.0,7198.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
15,SPAIN,ASCO-1,PWR,Operational,1998,7349.0,7943.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
16,SPAIN,ASCO-1,PWR,Operational,1999,8147.0,8741.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
17,SPAIN,ASCO-1,PWR,Operational,2000,7681.0,8008.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
18,SPAIN,ASCO-1,PWR,Operational,2001,7798.0,8056.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
19,SPAIN,ASCO-1,PWR,Operational,2002,8397.0,8737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
20,SPAIN,ASCO-1,PWR,Operational,2003,7581.11,7900.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
21,SPAIN,ASCO-1,PWR,Operational,2004,7734.27,7949.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
22,SPAIN,ASCO-1,PWR,Operational,2005,7640.5,8548.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
23,SPAIN,ASCO-1,PWR,Operational,2006,7418.37,7971.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
24,SPAIN,ASCO-1,PWR,Operational,2007,7574.76,7876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
25,SPAIN,ASCO-1,PWR,Operational,2008,7436.29,7768.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
26,SPAIN,ASCO-1,PWR,Operational,2009,5499.76,5758.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
27,SPAIN,ASCO-1,PWR,Operational,2010,7996.12,8231.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
28,SPAIN,ASCO-1,PWR,Operational,2011,6674.51,6946.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
29,SPAIN,ASCO-1,PWR,Operational,2012,7388.22,7666.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
30,SPAIN,ASCO-1,PWR,Operational,2013,8687.39,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
31,SPAIN,ASCO-1,PWR,Operational,2014,7096.39,7226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
32,SPAIN,ASCO-1,PWR,Operational,2015,7397.93,7725.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
33,SPAIN,ASCO-1,PWR,Operational,2016,8439.8,8560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
34,SPAIN,ASCO-1,PWR,Operational,2017,7522.94,7689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
35,SPAIN,ASCO-1,PWR,Operational,2018,7592.83,7718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
36,SPAIN,ASCO-1,PWR,Operational,2019,8630.08,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
37,SPAIN,ASCO-1,PWR,Operational,2020,7654.1,7848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
38,SPAIN,ASCO-1,PWR,Operational,2021,7085.78,7324.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
39,SPAIN,ASCO-1,PWR,Operational,2022,8532.56,8715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
40,SPAIN,ASCO-1,PWR,Operational,2023,6634.81,7025.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
41,SPAIN,ASCO-1,PWR,Operational,2024,6937.81,7239.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=155
