,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,ARGENTINA,ATUCHA-2,PHWR,Operational,2014,1093.35,3071.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
1,ARGENTINA,ATUCHA-2,PHWR,Operational,2015,3925.92,6928.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
2,ARGENTINA,ATUCHA-2,PHWR,Operational,2016,5200.54,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
3,ARGENTINA,ATUCHA-2,PHWR,Operational,2017,3356.61,5130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
4,ARGENTINA,ATUCHA-2,PHWR,Operational,2018,4178.88,6448.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
5,ARGENTINA,ATUCHA-2,PHWR,Operational,2019,1748.39,7001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
6,ARGENTINA,ATUCHA-2,PHWR,Operational,2020,2421.87,6155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
7,ARGENTINA,ATUCHA-2,PHWR,Operational,2021,3510.88,7217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
8,ARGENTINA,ATUCHA-2,PHWR,Operational,2022,1259.03,3381.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
9,ARGENTINA,ATUCHA-2,PHWR,Operational,2023,1541.93,2958.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
10,ARGENTINA,ATUCHA-2,PHWR,Operational,2024,4111.75,6836.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=5
