,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
4,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1971,97.7,6883.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
5,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1972,98.7,6730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
6,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1973,99.8,7865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
7,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1974,79.1,6295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
8,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1975,96.0,7669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
9,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1976,101.3,8103.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
10,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1977,56.6,5055.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
11,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1978,39.3,3103.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
12,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1979,12.1,2449.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
13,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1980,44.4,3892.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
14,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1981,75.0,5907.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
15,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1982,74.0,5774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
16,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1983,91.0,7198.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
17,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1984,64.0,5104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
18,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1985,85.47,6553.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
19,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1986,75.06,5738.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
20,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1987,42.54,4229.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
21,GERMANY,AVR JUELICH,HTGR,Permanent Shutdown,1988,61.37,5497.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=114
