,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,BALAKOVO-4,PWR,Operational,1993,3676.28,5206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
1,RUSSIA,BALAKOVO-4,PWR,Operational,1994,3828.53,4604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
2,RUSSIA,BALAKOVO-4,PWR,Operational,1995,5609.99,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
3,RUSSIA,BALAKOVO-4,PWR,Operational,1996,4545.55,6652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
4,RUSSIA,BALAKOVO-4,PWR,Operational,1997,4637.72,6637.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
5,RUSSIA,BALAKOVO-4,PWR,Operational,1998,5042.49,6936.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
6,RUSSIA,BALAKOVO-4,PWR,Operational,1999,5803.91,7268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
7,RUSSIA,BALAKOVO-4,PWR,Operational,2000,6665.85,7216.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
8,RUSSIA,BALAKOVO-4,PWR,Operational,2001,6578.09,7354.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
9,RUSSIA,BALAKOVO-4,PWR,Operational,2002,6292.92,6723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
10,RUSSIA,BALAKOVO-4,PWR,Operational,2003,7223.84,7541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
11,RUSSIA,BALAKOVO-4,PWR,Operational,2004,7022.94,7540.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
12,RUSSIA,BALAKOVO-4,PWR,Operational,2005,6938.28,7699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
13,RUSSIA,BALAKOVO-4,PWR,Operational,2006,6805.35,7230.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
14,RUSSIA,BALAKOVO-4,PWR,Operational,2007,7153.35,7787.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
15,RUSSIA,BALAKOVO-4,PWR,Operational,2008,8330.42,8779.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
16,RUSSIA,BALAKOVO-4,PWR,Operational,2009,7409.95,7727.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
17,RUSSIA,BALAKOVO-4,PWR,Operational,2010,7199.69,7168.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
18,RUSSIA,BALAKOVO-4,PWR,Operational,2011,7625.2,7619.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
19,RUSSIA,BALAKOVO-4,PWR,Operational,2012,8517.84,8608.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
20,RUSSIA,BALAKOVO-4,PWR,Operational,2013,7847.25,7847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
21,RUSSIA,BALAKOVO-4,PWR,Operational,2014,7204.52,7173.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
22,RUSSIA,BALAKOVO-4,PWR,Operational,2015,8800.05,8757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
23,RUSSIA,BALAKOVO-4,PWR,Operational,2016,8006.24,8045.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
24,RUSSIA,BALAKOVO-4,PWR,Operational,2017,7336.59,7386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
25,RUSSIA,BALAKOVO-4,PWR,Operational,2018,8777.02,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
26,RUSSIA,BALAKOVO-4,PWR,Operational,2019,6075.81,5952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
27,RUSSIA,BALAKOVO-4,PWR,Operational,2020,7368.35,7307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
28,RUSSIA,BALAKOVO-4,PWR,Operational,2021,8516.23,8296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
29,RUSSIA,BALAKOVO-4,PWR,Operational,2022,8167.11,7962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
30,RUSSIA,BALAKOVO-4,PWR,Operational,2023,7999.26,7797.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
31,RUSSIA,BALAKOVO-4,PWR,Operational,2024,9059.53,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=527
