,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1977,2625.7,5202.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
1,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1978,3836.2,7078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
2,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1979,3928.5,7376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
3,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1980,3376.8,6426.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
4,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1981,3803.1,7590.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
5,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1982,4606.1,8570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
6,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1983,3718.9,7383.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
7,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1984,4020.86,7784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
8,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1985,4306.12,8759.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
9,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1986,4129.2,7555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
10,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1987,4448.17,8253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
11,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1988,4392.59,7926.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
12,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1989,4206.18,8244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
13,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1990,4208.61,7817.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
14,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1991,4614.18,8334.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
15,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1992,2642.61,5053.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
16,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1993,2859.02,5545.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
17,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1994,3745.25,6861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
18,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1995,3751.03,6724.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
19,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1996,3771.1,6476.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
20,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1997,3900.82,6851.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
21,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1998,4009.57,7373.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
22,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,1999,3446.96,6157.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
23,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,2000,2925.64,5725.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
24,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,2001,4428.54,7863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
25,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,2002,3873.92,6584.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
26,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,2003,2279.11,3976.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
27,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,2004,4692.0,8044.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
28,SWEDEN,BARSEBACK-2,BWR,Permanent Shutdown,2005,1898.69,3618.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=540
