,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1987,738.1,950.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
1,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1988,6477.06,8224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
2,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1989,4557.14,6245.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
3,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1990,4291.55,6734.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
4,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1991,6762.16,8720.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
5,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1992,5647.13,7342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
6,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1993,5212.68,6770.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
7,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1994,7024.73,8481.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
8,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1995,6047.02,7616.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
9,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1996,4788.59,6169.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
10,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1997,6158.7,7583.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
11,UNITED STATES OF AMERICA,BEAVER VALLEY-2,PWR,Operational,1998,1808.72,2179.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=712
