,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,BELLEVILLE-1,PWR,Operational,1987,622.0,1184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
1,FRANCE,BELLEVILLE-1,PWR,Operational,1988,6283.0,6478.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
2,FRANCE,BELLEVILLE-1,PWR,Operational,1989,5152.56,4244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
3,FRANCE,BELLEVILLE-1,PWR,Operational,1990,7914.26,6408.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
4,FRANCE,BELLEVILLE-1,PWR,Operational,1991,8660.21,7092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
5,FRANCE,BELLEVILLE-1,PWR,Operational,1992,8494.33,7600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
6,FRANCE,BELLEVILLE-1,PWR,Operational,1993,7921.46,6873.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
7,FRANCE,BELLEVILLE-1,PWR,Operational,1994,6575.76,5848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
8,FRANCE,BELLEVILLE-1,PWR,Operational,1995,7740.91,6796.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
9,FRANCE,BELLEVILLE-1,PWR,Operational,1996,7365.06,6002.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
10,FRANCE,BELLEVILLE-1,PWR,Operational,1997,9785.27,8294.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
11,FRANCE,BELLEVILLE-1,PWR,Operational,1998,5740.91,4865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
12,FRANCE,BELLEVILLE-1,PWR,Operational,1999,9580.49,7957.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
13,FRANCE,BELLEVILLE-1,PWR,Operational,2000,4238.57,3459.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
14,FRANCE,BELLEVILLE-1,PWR,Operational,2001,9564.53,7774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
15,FRANCE,BELLEVILLE-1,PWR,Operational,2002,9567.3,8447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
16,FRANCE,BELLEVILLE-1,PWR,Operational,2003,8401.73,6871.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
17,FRANCE,BELLEVILLE-1,PWR,Operational,2004,9291.01,7645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
18,FRANCE,BELLEVILLE-1,PWR,Operational,2005,10236.41,8646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
19,FRANCE,BELLEVILLE-1,PWR,Operational,2006,7926.72,6870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
20,FRANCE,BELLEVILLE-1,PWR,Operational,2007,8512.07,7213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
21,FRANCE,BELLEVILLE-1,PWR,Operational,2008,6304.96,5615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
22,FRANCE,BELLEVILLE-1,PWR,Operational,2009,10402.3,8350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=211
