,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,RUSSIA,BELOYARSK-3,FBR,Operational,1982,2771.0,5555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
3,RUSSIA,BELOYARSK-3,FBR,Operational,1983,3545.21,6737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
4,RUSSIA,BELOYARSK-3,FBR,Operational,1984,3584.11,6848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
5,RUSSIA,BELOYARSK-3,FBR,Operational,1985,3561.83,6544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
6,RUSSIA,BELOYARSK-3,FBR,Operational,1986,3600.73,6818.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
7,RUSSIA,BELOYARSK-3,FBR,Operational,1987,3894.99,6714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
8,RUSSIA,BELOYARSK-3,FBR,Operational,1988,3762.19,6810.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
9,RUSSIA,BELOYARSK-3,FBR,Operational,1989,3694.43,6800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
10,RUSSIA,BELOYARSK-3,FBR,Operational,1990,3198.0,6627.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
11,RUSSIA,BELOYARSK-3,FBR,Operational,1991,3394.0,6631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
12,RUSSIA,BELOYARSK-3,FBR,Operational,1992,4094.97,7449.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
13,RUSSIA,BELOYARSK-3,FBR,Operational,1993,3914.92,7065.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
14,RUSSIA,BELOYARSK-3,FBR,Operational,1994,3810.67,6977.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
15,RUSSIA,BELOYARSK-3,FBR,Operational,1995,3413.27,6953.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
16,RUSSIA,BELOYARSK-3,FBR,Operational,1996,3722.33,7010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
17,RUSSIA,BELOYARSK-3,FBR,Operational,1997,3545.8,6596.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
18,RUSSIA,BELOYARSK-3,FBR,Operational,1998,2335.33,4385.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
19,RUSSIA,BELOYARSK-3,FBR,Operational,1999,3720.99,6972.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=484
