,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SWITZERLAND,BEZNAU-2,PWR,Operational,1971,211.7,1012.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
1,SWITZERLAND,BEZNAU-2,PWR,Operational,1972,2618.5,7624.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
2,SWITZERLAND,BEZNAU-2,PWR,Operational,1973,2220.7,7042.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
3,SWITZERLAND,BEZNAU-2,PWR,Operational,1974,2527.8,7607.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
4,SWITZERLAND,BEZNAU-2,PWR,Operational,1975,2547.0,7503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
5,SWITZERLAND,BEZNAU-2,PWR,Operational,1976,2652.2,7777.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
6,SWITZERLAND,BEZNAU-2,PWR,Operational,1977,2690.9,7758.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
7,SWITZERLAND,BEZNAU-2,PWR,Operational,1978,2753.1,7888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
8,SWITZERLAND,BEZNAU-2,PWR,Operational,1979,2700.0,7835.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
9,SWITZERLAND,BEZNAU-2,PWR,Operational,1980,2559.0,7279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
10,SWITZERLAND,BEZNAU-2,PWR,Operational,1981,2768.8,7868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
11,SWITZERLAND,BEZNAU-2,PWR,Operational,1982,2722.1,7811.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
12,SWITZERLAND,BEZNAU-2,PWR,Operational,1983,2790.5,7977.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
13,SWITZERLAND,BEZNAU-2,PWR,Operational,1984,2724.21,7874.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=57
