,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1974,781.6,1840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
1,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1975,7916.6,7231.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
2,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1976,5102.8,4617.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
3,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1977,6164.5,5970.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
4,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1978,7067.1,6524.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
5,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1979,6569.0,7507.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
6,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1980,3855.0,4119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
7,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1981,6844.3,6288.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
8,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1982,8994.3,7723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
9,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1983,7766.0,6783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
10,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1984,6901.0,6175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
11,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1985,7564.87,6797.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
12,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1986,6968.1,7227.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
13,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1987,7467.8,7154.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
14,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1988,5985.45,6594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
15,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1989,6430.97,5904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
16,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1990,5052.68,4676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
17,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1991,6930.97,6778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
18,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1992,6884.79,7024.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
19,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1993,8240.74,8558.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
20,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1994,7483.59,6697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
21,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1995,2509.39,2655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
22,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1996,4012.52,3503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
23,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1997,8002.26,7648.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
24,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1998,10042.35,8752.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
25,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,1999,7251.15,6865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
26,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2000,5910.11,5497.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
27,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2001,9532.04,8334.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
28,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2002,6167.67,5988.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
29,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2003,2695.76,2406.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
30,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2004,9645.47,8395.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
31,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2005,7355.95,6489.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
32,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2006,6994.49,6190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
33,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2007,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
34,GERMANY,BIBLIS-A,PWR,Permanent Shutdown,2008,8472.84,7783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=85
