,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1976,705.7,1027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
1,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1977,8017.2,7490.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
2,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1978,5658.0,6015.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
3,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1979,6026.0,7254.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
4,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1980,5592.0,5761.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
5,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1981,8105.6,6804.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
6,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1982,9196.0,7681.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
7,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1983,6490.0,5360.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
8,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1984,8216.0,7338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
9,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1985,7780.21,6918.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
10,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1986,6722.62,6370.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
11,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1987,5622.99,7273.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
12,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1988,5591.76,6593.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
13,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1989,5165.8,4807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
14,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1990,9100.1,8631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
15,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1991,3917.76,3626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
16,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1992,7630.5,7184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
17,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1993,7441.76,7368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
18,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1994,7973.79,7468.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
19,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1995,7854.23,6603.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
20,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1996,7857.36,6762.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
21,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1997,8469.43,7560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
22,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1998,8182.07,7409.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
23,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,1999,8707.4,7474.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
24,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2000,8295.68,7950.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
25,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2001,7442.24,6470.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
26,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2002,10173.6,8371.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
27,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2003,7792.04,6630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
28,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2004,8768.39,7309.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
29,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2005,6892.46,6014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
30,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2006,8312.14,6929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
31,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2007,885.24,731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
32,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2008,10367.97,8766.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
33,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2009,1511.33,1513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
34,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2010,9737.54,8138.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
35,GERMANY,BIBLIS-B,PWR,Permanent Shutdown,2011,1640.98,1342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=91
