,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
9,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1971,388.7,7810.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
10,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1972,381.4,7001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
11,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1973,422.7,6993.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
12,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1974,356.3,6167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
13,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1975,290.7,5237.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
14,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1976,244.5,4404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
15,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1977,361.1,6429.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
16,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1978,400.9,6818.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
17,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1979,113.7,2061.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
18,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1980,404.9,6932.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
19,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1981,470.0,7940.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
20,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1982,359.8,6195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
21,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1983,348.7,6221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
22,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1984,417.52,6902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
23,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1985,362.43,6439.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
24,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1986,506.15,8360.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
25,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1987,374.93,6128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
26,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1988,383.61,6272.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
27,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1989,416.75,6878.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
28,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1990,425.62,6716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
29,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1991,491.7,7436.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
30,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1992,271.42,4698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
31,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1993,426.07,6932.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
32,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1994,410.47,6450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
33,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1995,516.2,8270.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
34,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1996,365.32,5571.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
35,UNITED STATES OF AMERICA,BIG ROCK POINT,BWR,Permanent Shutdown,1997,196.49,3456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=601
