,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,RUSSIA,BILIBINO-3,LWGR,Operational,1975,0.5,240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
1,RUSSIA,BILIBINO-3,LWGR,Operational,1976,51.2,6655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
2,RUSSIA,BILIBINO-3,LWGR,Operational,1977,46.5,7533.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
3,RUSSIA,BILIBINO-3,LWGR,Operational,1978,61.86,7514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
4,RUSSIA,BILIBINO-3,LWGR,Operational,1979,62.12,7837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
5,RUSSIA,BILIBINO-3,LWGR,Operational,1980,79.43,8130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
6,RUSSIA,BILIBINO-3,LWGR,Operational,1981,89.78,8480.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
7,RUSSIA,BILIBINO-3,LWGR,Operational,1982,79.34,8323.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
8,RUSSIA,BILIBINO-3,LWGR,Operational,1983,72.81,7782.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
9,RUSSIA,BILIBINO-3,LWGR,Operational,1984,76.48,7876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
10,RUSSIA,BILIBINO-3,LWGR,Operational,1985,69.83,7119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
11,RUSSIA,BILIBINO-3,LWGR,Operational,1986,77.11,8001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
12,RUSSIA,BILIBINO-3,LWGR,Operational,1987,89.09,7801.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=469
