,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,BLAYAIS-1,PWR,Operational,1981,1636.2,2584.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
1,FRANCE,BLAYAIS-1,PWR,Operational,1982,6129.8,7588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
2,FRANCE,BLAYAIS-1,PWR,Operational,1983,3453.0,4285.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
3,FRANCE,BLAYAIS-1,PWR,Operational,1984,6509.0,7536.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
4,FRANCE,BLAYAIS-1,PWR,Operational,1985,6225.2,7348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
5,FRANCE,BLAYAIS-1,PWR,Operational,1986,6460.6,7754.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
6,FRANCE,BLAYAIS-1,PWR,Operational,1987,5586.6,6793.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
7,FRANCE,BLAYAIS-1,PWR,Operational,1988,5730.0,7069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
8,FRANCE,BLAYAIS-1,PWR,Operational,1989,6222.43,7419.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
9,FRANCE,BLAYAIS-1,PWR,Operational,1990,5822.59,6834.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
10,FRANCE,BLAYAIS-1,PWR,Operational,1991,6379.04,7400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
11,FRANCE,BLAYAIS-1,PWR,Operational,1992,4349.17,5079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
12,FRANCE,BLAYAIS-1,PWR,Operational,1993,5979.16,7253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
13,FRANCE,BLAYAIS-1,PWR,Operational,1994,3474.92,5119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
14,FRANCE,BLAYAIS-1,PWR,Operational,1995,6075.8,7206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
15,FRANCE,BLAYAIS-1,PWR,Operational,1996,6639.15,7798.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
16,FRANCE,BLAYAIS-1,PWR,Operational,1997,6196.6,7621.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
17,FRANCE,BLAYAIS-1,PWR,Operational,1998,5917.56,7078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
18,FRANCE,BLAYAIS-1,PWR,Operational,1999,6046.81,7082.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
19,FRANCE,BLAYAIS-1,PWR,Operational,2000,2854.09,3602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
20,FRANCE,BLAYAIS-1,PWR,Operational,2001,4881.5,5768.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
21,FRANCE,BLAYAIS-1,PWR,Operational,2002,6861.1,8251.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
22,FRANCE,BLAYAIS-1,PWR,Operational,2003,4541.69,5321.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
23,FRANCE,BLAYAIS-1,PWR,Operational,2004,6144.26,7217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
24,FRANCE,BLAYAIS-1,PWR,Operational,2005,6883.56,7841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
25,FRANCE,BLAYAIS-1,PWR,Operational,2006,6507.99,7440.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
26,FRANCE,BLAYAIS-1,PWR,Operational,2007,6891.0,7791.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
27,FRANCE,BLAYAIS-1,PWR,Operational,2008,6678.68,7651.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
28,FRANCE,BLAYAIS-1,PWR,Operational,2009,4604.59,5461.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
29,FRANCE,BLAYAIS-1,PWR,Operational,2010,6634.72,7679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
30,FRANCE,BLAYAIS-1,PWR,Operational,2011,6465.19,7370.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
31,FRANCE,BLAYAIS-1,PWR,Operational,2012,4170.62,4690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
32,FRANCE,BLAYAIS-1,PWR,Operational,2013,6809.65,7659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
33,FRANCE,BLAYAIS-1,PWR,Operational,2014,6245.02,7214.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
34,FRANCE,BLAYAIS-1,PWR,Operational,2015,6874.3,7961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
35,FRANCE,BLAYAIS-1,PWR,Operational,2016,3996.76,4637.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
36,FRANCE,BLAYAIS-1,PWR,Operational,2017,6916.74,7783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
37,FRANCE,BLAYAIS-1,PWR,Operational,2018,6345.55,7164.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
38,FRANCE,BLAYAIS-1,PWR,Operational,2019,6840.4,7698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=187
