,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1980,2043.6,5891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
1,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1981,2524.9,7325.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
2,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1982,2657.3,6878.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
3,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1983,2946.6,7610.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
4,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1984,2782.6,7304.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
5,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1985,2444.66,6656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
6,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1986,2833.01,7482.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
7,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1987,2902.42,7833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
8,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1988,2947.48,7757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
9,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1989,2637.78,6831.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
10,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1990,2683.03,6939.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
11,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1991,2583.51,6673.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
12,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1992,2704.47,6774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
13,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1993,2057.37,5433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
14,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1994,2761.76,7371.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
15,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1995,2989.45,6929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
16,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1996,2712.57,6705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
17,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1997,2321.0,5698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
18,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1998,1839.23,4886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
19,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,1999,2278.3,6125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
20,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2000,2527.52,6715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
21,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2001,2899.35,7793.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
22,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2002,2855.07,7713.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
23,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2003,2614.87,7081.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
24,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2004,2861.8,7977.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
25,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2005,2821.58,7482.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
26,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2006,2706.94,8037.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
27,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2007,2743.39,7407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
28,SLOVAKIA,BOHUNICE-2,PWR,Permanent Shutdown,2008,3276.1,8780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=549
