,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1973,620.5,2682.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
1,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1974,2993.7,6840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
2,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1975,2776.9,6494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
3,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1976,3274.4,7521.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
4,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1977,3142.4,7318.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
5,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1978,3424.1,7997.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
6,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1979,2900.0,6785.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
7,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1980,3593.0,8496.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
8,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1981,3048.3,7094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
9,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1982,3315.9,7489.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
10,"NETHERLANDS, KINGDOM OF THE",BORSSELE,PWR,Operational,1983,3050.0,6959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=423
