,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
11,BELGIUM,BR-3,PWR,Permanent Shutdown,1973,68.7,7323.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
12,BELGIUM,BR-3,PWR,Permanent Shutdown,1974,23.2,3522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
13,BELGIUM,BR-3,PWR,Permanent Shutdown,1975,18.1,3313.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
14,BELGIUM,BR-3,PWR,Permanent Shutdown,1976,22.0,3610.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
15,BELGIUM,BR-3,PWR,Permanent Shutdown,1977,74.4,8391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
16,BELGIUM,BR-3,PWR,Permanent Shutdown,1978,20.8,2286.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
17,BELGIUM,BR-3,PWR,Permanent Shutdown,1979,31.1,3532.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
20,BELGIUM,BR-3,PWR,Permanent Shutdown,1982,40.0,4823.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
21,BELGIUM,BR-3,PWR,Permanent Shutdown,1983,13.0,1677.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
22,BELGIUM,BR-3,PWR,Permanent Shutdown,1984,31.0,3642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
23,BELGIUM,BR-3,PWR,Permanent Shutdown,1985,47.21,6274.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
24,BELGIUM,BR-3,PWR,Permanent Shutdown,1986,31.89,4115.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
25,BELGIUM,BR-3,PWR,Permanent Shutdown,1987,29.28,3897.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=8
