,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
8,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1970,908.5,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
9,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1971,913.6,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
10,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1972,1064.3,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
11,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1973,826.45,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
12,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1974,861.5,8224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
13,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1975,874.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
14,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1976,868.0,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
15,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1977,860.0,8702.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
16,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1978,760.0,8658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
17,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1979,692.0,8655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
18,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1980,62.0,1015.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
19,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1981,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
20,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1982,447.0,7615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
21,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1983,619.5,8681.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
22,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1984,849.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
23,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1985,935.1,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
24,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1986,791.35,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
25,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1987,931.62,8904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
26,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1988,849.59,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
27,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1989,402.01,5132.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
28,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1990,741.65,8705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
29,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1991,807.08,8485.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
30,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1992,591.92,5690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
31,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1993,818.97,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
32,UNITED KINGDOM,BRADWELL-1,GCR,Permanent Shutdown,1994,906.47,8057.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=266
