,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1988,1350.94,1476.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
1,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1989,7142.04,7581.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
2,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1990,6353.59,6849.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
3,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1991,6545.52,6626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
4,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1992,8751.14,8346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
5,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1993,7362.34,7098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
6,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1994,6636.15,6454.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
7,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1995,9533.04,8583.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
8,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1996,8011.8,7349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
9,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1997,8234.75,7563.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
10,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1998,9694.64,8552.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
11,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,1999,9030.88,8070.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
12,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2000,9510.95,8303.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
13,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2001,9647.86,8481.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
14,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2002,9449.48,8099.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
15,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2003,9932.17,8337.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
16,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2004,10200.98,8757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
17,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2005,9519.42,8244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
18,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2006,9624.59,8335.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
19,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2007,10131.17,8706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
20,UNITED STATES OF AMERICA,BRAIDWOOD-2,PWR,Operational,2008,9323.22,8106.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=738
