,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,BROKDORF,PWR,Permanent Shutdown,1986,296.84,228.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
1,GERMANY,BROKDORF,PWR,Permanent Shutdown,1987,9481.26,7477.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
2,GERMANY,BROKDORF,PWR,Permanent Shutdown,1988,8581.77,7014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
3,GERMANY,BROKDORF,PWR,Permanent Shutdown,1989,8991.29,7134.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
4,GERMANY,BROKDORF,PWR,Permanent Shutdown,1990,8337.23,6447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
5,GERMANY,BROKDORF,PWR,Permanent Shutdown,1991,9492.73,7542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
6,GERMANY,BROKDORF,PWR,Permanent Shutdown,1992,10788.03,8461.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
7,GERMANY,BROKDORF,PWR,Permanent Shutdown,1993,9447.12,7441.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
8,GERMANY,BROKDORF,PWR,Permanent Shutdown,1994,10228.6,7793.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
9,GERMANY,BROKDORF,PWR,Permanent Shutdown,1995,9912.37,7833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
10,GERMANY,BROKDORF,PWR,Permanent Shutdown,1996,10555.39,8212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
11,GERMANY,BROKDORF,PWR,Permanent Shutdown,1997,11249.32,8328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
12,GERMANY,BROKDORF,PWR,Permanent Shutdown,1998,10752.32,7966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
13,GERMANY,BROKDORF,PWR,Permanent Shutdown,1999,11093.31,8177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
14,GERMANY,BROKDORF,PWR,Permanent Shutdown,2000,11335.07,8397.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
15,GERMANY,BROKDORF,PWR,Permanent Shutdown,2001,11215.4,8331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
16,GERMANY,BROKDORF,PWR,Permanent Shutdown,2002,11336.92,8405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
17,GERMANY,BROKDORF,PWR,Permanent Shutdown,2003,10564.58,7903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
18,GERMANY,BROKDORF,PWR,Permanent Shutdown,2004,11040.81,8327.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
19,GERMANY,BROKDORF,PWR,Permanent Shutdown,2005,11400.69,8433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
20,GERMANY,BROKDORF,PWR,Permanent Shutdown,2006,11201.33,8307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
21,GERMANY,BROKDORF,PWR,Permanent Shutdown,2007,11425.65,8293.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=107
