,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1974,1123.8,1998.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
1,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1975,1425.7,1578.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
2,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1976,1567.2,2547.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
3,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1977,6225.0,6963.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
4,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1978,5547.5,6032.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
5,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1979,7441.4,7593.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
6,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1980,5618.4,6073.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
7,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1981,7471.9,7452.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
8,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1982,4450.9,4778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
9,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1983,6385.6,6514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
10,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1984,4044.37,5844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
17,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1991,3804.01,4125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
18,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1992,8388.77,8401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
19,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1993,5776.84,5753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
20,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1994,7345.17,7234.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
21,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1995,9197.03,8629.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
22,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1996,8046.29,7795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
23,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1997,8372.93,8130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
24,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1998,9301.04,8730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
25,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,1999,8586.32,7985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
26,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2000,9733.46,8727.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
27,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2001,8414.56,7636.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
28,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2002,8911.26,8269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
29,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2003,8369.22,7888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
30,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2004,9785.98,8715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
31,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2005,8802.16,8052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
32,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2006,9232.64,8365.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
33,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2007,7606.63,7229.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
34,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2008,9429.92,8545.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
35,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2009,7808.51,7122.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
36,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2010,8842.51,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
37,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2011,7720.39,7092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
38,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2012,9576.0,8685.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
39,UNITED STATES OF AMERICA,BROWNS FERRY-2,BWR,Operational,2013,7997.82,7527.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=618
