,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CANADA,BRUCE-1,PHWR,Operational,1977,1860.7,2698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
1,CANADA,BRUCE-1,PHWR,Operational,1978,4152.6,6649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
2,CANADA,BRUCE-1,PHWR,Operational,1979,5018.8,7334.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
3,CANADA,BRUCE-1,PHWR,Operational,1980,5597.5,7902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
4,CANADA,BRUCE-1,PHWR,Operational,1981,6253.3,8486.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
5,CANADA,BRUCE-1,PHWR,Operational,1982,5914.9,7884.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
6,CANADA,BRUCE-1,PHWR,Operational,1983,5802.8,7590.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
7,CANADA,BRUCE-1,PHWR,Operational,1984,6457.62,8546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
8,CANADA,BRUCE-1,PHWR,Operational,1985,6417.45,8349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
9,CANADA,BRUCE-1,PHWR,Operational,1986,4398.02,5783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
10,CANADA,BRUCE-1,PHWR,Operational,1987,4087.07,5462.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
11,CANADA,BRUCE-1,PHWR,Operational,1988,4642.66,6066.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
12,CANADA,BRUCE-1,PHWR,Operational,1989,5094.78,7543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
13,CANADA,BRUCE-1,PHWR,Operational,1990,2451.13,4629.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
14,CANADA,BRUCE-1,PHWR,Operational,1991,2394.45,3467.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
15,CANADA,BRUCE-1,PHWR,Operational,1992,4546.54,7484.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
16,CANADA,BRUCE-1,PHWR,Operational,1993,3389.2,6869.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
17,CANADA,BRUCE-1,PHWR,Operational,1994,3849.03,7094.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
18,CANADA,BRUCE-1,PHWR,Operational,1995,3531.45,5827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
19,CANADA,BRUCE-1,PHWR,Operational,1996,4326.4,7306.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
20,CANADA,BRUCE-1,PHWR,Operational,1997,1383.58,2254.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
34,CANADA,BRUCE-1,PHWR,Operational,2012,743.65,1365.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
35,CANADA,BRUCE-1,PHWR,Operational,2013,5257.07,7883.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
36,CANADA,BRUCE-1,PHWR,Operational,2014,5630.95,7540.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
37,CANADA,BRUCE-1,PHWR,Operational,2015,5816.97,7711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
38,CANADA,BRUCE-1,PHWR,Operational,2016,6122.17,8004.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
39,CANADA,BRUCE-1,PHWR,Operational,2017,6434.23,8412.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
40,CANADA,BRUCE-1,PHWR,Operational,2018,5424.38,7046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
41,CANADA,BRUCE-1,PHWR,Operational,2019,6720.15,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
42,CANADA,BRUCE-1,PHWR,Operational,2020,6658.49,8630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
43,CANADA,BRUCE-1,PHWR,Operational,2021,5613.0,7075.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
44,CANADA,BRUCE-1,PHWR,Operational,2022,6691.27,8298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
45,CANADA,BRUCE-1,PHWR,Operational,2023,7022.43,8649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
46,CANADA,BRUCE-1,PHWR,Operational,2024,5800.0,7303.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=53
