,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1976,1032.2,2112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
1,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1977,3313.8,4547.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
2,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1978,2333.5,3405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
3,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1979,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
4,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1980,714.9,1354.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
5,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1981,4462.4,7432.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
6,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1982,3439.2,5007.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
7,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1983,2416.0,3241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
8,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1984,5334.0,7549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
9,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1985,5625.31,7661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
10,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1986,5630.91,7802.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
11,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1987,5233.83,7837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
12,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1988,5085.31,7800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
13,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1989,4097.17,6730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
14,GERMANY,BRUNSBUETTEL,BWR,Permanent Shutdown,1990,4780.32,8527.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=86
