,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1975,1423.8,3254.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
1,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1976,2486.6,4911.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
2,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1977,2436.6,4872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
3,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1978,4794.6,7018.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
4,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1979,3652.1,5741.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
5,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1980,1864.6,3086.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
6,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1981,3283.9,5800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
7,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1982,1942.1,3378.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
8,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1983,3941.7,5630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
9,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1984,1429.01,2236.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
10,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1985,5021.91,6983.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
11,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1986,2933.07,4027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
12,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1987,5694.1,8203.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
13,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1988,3929.22,5361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
14,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1989,4195.43,5763.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
15,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1990,4067.43,5616.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
16,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1991,3664.18,4959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
17,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1992,1315.1,2200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
18,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1993,4000.88,5525.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
19,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1994,4823.21,6436.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
20,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1995,6215.96,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
21,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1996,5188.12,7277.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
22,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1997,6055.38,7816.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
23,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1998,6963.48,8539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
24,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,1999,6095.17,7577.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
25,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2000,7055.01,8616.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
26,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2001,6540.43,7996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
27,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2002,7078.62,8609.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
28,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2003,7028.09,7966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
29,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2004,7756.76,8639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
30,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2005,6781.7,7724.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
31,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2006,7361.27,7972.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
32,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2007,7140.26,7645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
33,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2008,7854.24,8448.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
34,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2009,6410.2,7060.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
35,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2010,8000.04,8639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
36,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2011,6336.69,6995.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
37,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2012,7987.81,8704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
38,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2013,6385.33,7059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
39,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2014,7987.55,8715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
40,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2015,7098.43,7704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
41,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2016,8075.19,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
42,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2017,7191.04,8010.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
43,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2018,7532.9,8453.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
44,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2019,6972.51,7689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
45,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2020,8088.45,8740.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
46,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2021,7450.71,8035.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
47,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2022,7831.71,8625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
48,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2023,7414.54,8079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
49,UNITED STATES OF AMERICA,BRUNSWICK-2,BWR,Operational,2024,8259.42,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=661
