,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1972,1138.8,3812.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
1,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1973,2474.6,6454.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
2,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1974,3009.8,7245.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
3,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1975,2771.3,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
4,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1976,3307.8,7586.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
5,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1977,3456.5,7443.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
6,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1978,2615.7,5972.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
7,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1979,3036.0,6739.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
8,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1980,4048.0,8279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
9,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1981,2886.3,6926.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
10,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1982,3339.0,7223.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
11,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1983,2288.0,5383.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
12,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1984,2922.0,6849.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
13,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1985,2780.7,6926.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
14,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1986,1570.2,4528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
15,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1987,1849.2,5547.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
16,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1988,2530.6,6593.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
17,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1989,1779.41,4816.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
18,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1990,2006.88,5497.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
19,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1991,1353.75,3704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
20,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1992,1144.42,3660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
21,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1993,1567.37,4200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
22,FRANCE,BUGEY-1,GCR,Permanent Shutdown,1994,1458.42,3463.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=230
