,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2011,97.98,361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
1,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2012,1328.31,1930.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
2,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2013,3893.67,4523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
3,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2014,3723.6,5181.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
4,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2015,3198.24,3992.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
5,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2016,5923.97,6615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
6,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2017,6366.21,6971.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
7,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2018,6300.12,6851.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
8,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2019,5865.73,6611.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
9,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2020,5792.22,6349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
10,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2021,3235.97,3665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
11,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2022,6008.02,6544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
12,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2023,6071.16,6605.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
13,"IRAN, ISLAMIC REPUBLIC OF",BUSHEHR-1,PWR,Operational,2024,6438.94,7167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=310
