,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1985,1696.12,2025.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
1,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1986,7396.0,7760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
2,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1987,5355.66,6005.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
3,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1988,6303.67,6393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
4,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1989,8945.52,8737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
5,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1990,6951.66,7059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
6,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1991,6318.07,7148.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
7,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1992,8986.36,8723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
8,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1993,7366.86,7104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
9,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1994,6801.55,7136.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
10,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1995,7706.54,7228.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
11,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1996,6871.06,6588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
12,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1997,7161.73,6737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
13,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1998,7804.6,7145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
14,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,1999,8908.49,7944.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
15,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,2000,9291.86,8284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
16,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,2001,10389.9,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
17,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,2002,9827.85,8256.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
18,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,2003,9858.83,8248.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
19,UNITED STATES OF AMERICA,BYRON-1,PWR,Operational,2004,10381.33,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=735
