,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
15,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1971,476.5,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
16,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1972,477.52,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
17,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1973,381.25,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
18,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1974,380.95,8066.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
19,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1975,290.82,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
21,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1977,208.22,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
22,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1978,255.25,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
23,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1979,209.75,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
24,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1980,241.25,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
25,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1981,328.5,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
26,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1982,350.75,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
27,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1983,353.0,8749.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
28,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1984,360.0,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
29,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1985,360.03,7888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
30,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1986,353.35,7646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
31,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1987,334.25,7597.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
32,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1988,325.59,7129.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
33,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1989,349.01,7447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
34,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1990,342.77,7453.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
35,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1991,340.5,7513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
36,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1992,355.79,7570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
37,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1993,368.75,8108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
38,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1994,372.98,8011.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
39,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1995,357.5,7824.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
40,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1996,347.28,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
41,UNITED KINGDOM,CALDER HALL-1,GCR,Permanent Shutdown,1997,343.58,7567.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=231
