,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1984,577.21,863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
1,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1985,8045.76,7882.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
2,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1986,7199.11,7121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
3,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1987,6321.78,6141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
4,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1988,8144.18,7413.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
5,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1989,8350.92,7368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
6,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1990,8005.06,7167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
7,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1991,9979.37,8726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
8,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1992,8094.55,7204.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
9,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1993,8389.95,7498.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
10,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1994,10006.49,8726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
11,UNITED STATES OF AMERICA,CALLAWAY-1,PWR,Operational,1995,8252.83,7356.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=752
