,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1976,116.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
1,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1977,6009.8,7608.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
2,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1978,5226.6,7129.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
3,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1979,5489.0,6792.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
4,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1980,6412.3,8425.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
5,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1981,5416.0,7005.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
6,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1982,5005.2,6496.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
7,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1983,6113.1,7567.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
8,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1984,5338.45,6502.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
9,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1985,5608.05,6789.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
10,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1986,7006.67,8405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
11,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1987,4831.98,5859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
12,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1988,6602.69,7813.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
13,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1989,1448.46,1731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
14,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1990,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
15,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1991,3635.58,4515.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
16,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1992,6590.28,7855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
17,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1993,4975.19,5939.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
18,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1994,6576.52,7925.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
19,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1995,5911.11,7121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
20,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1996,7247.74,8561.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
21,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1997,5979.88,7100.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
22,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1998,7225.49,8393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
23,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,1999,6332.72,7400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
24,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2000,7391.04,8614.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
25,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2001,6201.52,7297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
26,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2002,7480.55,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
27,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2003,6156.86,7124.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
28,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2004,7552.2,8729.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
29,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2005,7114.31,8249.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
30,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2006,7406.34,8621.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
31,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2007,6807.83,7902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
32,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2008,7514.73,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
33,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2009,7021.55,8227.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
34,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2010,7238.91,8528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
35,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2011,6787.88,8005.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
36,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2012,7506.54,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
37,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2013,6486.75,7652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
38,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2014,7422.54,8662.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
39,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2015,6877.67,7969.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
40,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2016,7574.55,8753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
41,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2017,7278.3,8257.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
42,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2018,7698.56,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
43,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2019,7099.58,8107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
44,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2020,7709.21,8783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
45,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2021,7035.82,8178.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
46,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2022,7472.48,8554.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
47,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2023,7155.35,8189.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
48,UNITED STATES OF AMERICA,CALVERT CLIFFS-2,PWR,Operational,2024,7347.99,8513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=656
