,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,ITALY,CAORSO,BWR,Permanent Shutdown,1978,459.0,1878.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
1,ITALY,CAORSO,BWR,Permanent Shutdown,1979,1003.0,2708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
2,ITALY,CAORSO,BWR,Permanent Shutdown,1980,1220.0,1976.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
3,ITALY,CAORSO,BWR,Permanent Shutdown,1981,1659.3,2450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
4,ITALY,CAORSO,BWR,Permanent Shutdown,1982,5732.5,7906.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
5,ITALY,CAORSO,BWR,Permanent Shutdown,1983,4312.0,5858.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
6,ITALY,CAORSO,BWR,Permanent Shutdown,1984,4065.0,5769.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
7,ITALY,CAORSO,BWR,Permanent Shutdown,1985,3975.0,6073.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
8,ITALY,CAORSO,BWR,Permanent Shutdown,1986,5300.0,6648.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
9,ITALY,CAORSO,BWR,Permanent Shutdown,1987,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
10,ITALY,CAORSO,BWR,Permanent Shutdown,1988,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
11,ITALY,CAORSO,BWR,Permanent Shutdown,1989,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
12,ITALY,CAORSO,BWR,Permanent Shutdown,1990,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=327
