,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1985,3440.51,3513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
1,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1986,5199.12,5151.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
2,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1987,6405.97,5924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
3,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1988,7639.97,7003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
4,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1989,7775.42,7278.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
5,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1990,6900.5,6277.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
6,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1991,6681.05,6227.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
7,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1992,7050.94,6338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
8,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1993,7597.13,6916.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
9,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1994,9778.83,8722.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
10,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1995,8721.63,7712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
11,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1996,6341.1,5806.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
12,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1997,9192.55,7966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
13,UNITED STATES OF AMERICA,CATAWBA-1,PWR,Operational,1998,8903.65,7923.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=713
