,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,CATTENOM-2,PWR,Operational,1987,1317.0,1700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
1,FRANCE,CATTENOM-2,PWR,Operational,1988,8138.0,7156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
2,FRANCE,CATTENOM-2,PWR,Operational,1989,1765.48,1452.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
3,FRANCE,CATTENOM-2,PWR,Operational,1990,8137.59,6670.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
4,FRANCE,CATTENOM-2,PWR,Operational,1991,7543.13,6472.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
5,FRANCE,CATTENOM-2,PWR,Operational,1992,8134.3,6752.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
6,FRANCE,CATTENOM-2,PWR,Operational,1993,8626.96,6990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
7,FRANCE,CATTENOM-2,PWR,Operational,1994,8526.27,7158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
8,FRANCE,CATTENOM-2,PWR,Operational,1995,8603.72,7138.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
9,FRANCE,CATTENOM-2,PWR,Operational,1996,9018.1,7804.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
10,FRANCE,CATTENOM-2,PWR,Operational,1997,8487.38,7503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
11,FRANCE,CATTENOM-2,PWR,Operational,1998,7259.47,6144.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
12,FRANCE,CATTENOM-2,PWR,Operational,1999,9367.49,7781.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
13,FRANCE,CATTENOM-2,PWR,Operational,2000,9164.3,7868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
14,FRANCE,CATTENOM-2,PWR,Operational,2001,8649.04,7033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
15,FRANCE,CATTENOM-2,PWR,Operational,2002,8288.0,6918.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
16,FRANCE,CATTENOM-2,PWR,Operational,2003,10197.46,8217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
17,FRANCE,CATTENOM-2,PWR,Operational,2004,7368.16,6183.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
18,FRANCE,CATTENOM-2,PWR,Operational,2005,9247.81,7845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
19,FRANCE,CATTENOM-2,PWR,Operational,2006,9870.28,8626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
20,FRANCE,CATTENOM-2,PWR,Operational,2007,9526.5,7758.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
21,FRANCE,CATTENOM-2,PWR,Operational,2008,7707.77,6356.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
22,FRANCE,CATTENOM-2,PWR,Operational,2009,9460.92,7845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
23,FRANCE,CATTENOM-2,PWR,Operational,2010,8866.22,8001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
24,FRANCE,CATTENOM-2,PWR,Operational,2011,7188.84,5995.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
25,FRANCE,CATTENOM-2,PWR,Operational,2012,7149.6,5981.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
26,FRANCE,CATTENOM-2,PWR,Operational,2013,9766.15,7830.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
27,FRANCE,CATTENOM-2,PWR,Operational,2014,7475.58,6535.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
28,FRANCE,CATTENOM-2,PWR,Operational,2015,9474.83,7870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
29,FRANCE,CATTENOM-2,PWR,Operational,2016,10129.04,8664.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
30,FRANCE,CATTENOM-2,PWR,Operational,2017,7853.19,6649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
31,FRANCE,CATTENOM-2,PWR,Operational,2018,5487.63,4386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
32,FRANCE,CATTENOM-2,PWR,Operational,2019,9366.77,8046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
33,FRANCE,CATTENOM-2,PWR,Operational,2020,5634.04,4699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
34,FRANCE,CATTENOM-2,PWR,Operational,2021,7351.9,6220.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
35,FRANCE,CATTENOM-2,PWR,Operational,2022,10380.51,8319.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
36,FRANCE,CATTENOM-2,PWR,Operational,2023,5348.61,4698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
37,FRANCE,CATTENOM-2,PWR,Operational,2024,8653.18,7664.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=210
