,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,ROMANIA,CERNAVODA-2,PHWR,Operational,2007,1560.2,2729.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
1,ROMANIA,CERNAVODA-2,PHWR,Operational,2008,5528.11,8669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
2,ROMANIA,CERNAVODA-2,PHWR,Operational,2009,5158.25,8044.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
3,ROMANIA,CERNAVODA-2,PHWR,Operational,2010,5537.52,8551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
4,ROMANIA,CERNAVODA-2,PHWR,Operational,2011,5177.84,8052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
5,ROMANIA,CERNAVODA-2,PHWR,Operational,2012,5615.32,8701.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
6,ROMANIA,CERNAVODA-2,PHWR,Operational,2013,5073.74,7905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
7,ROMANIA,CERNAVODA-2,PHWR,Operational,2014,5589.3,8680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
8,ROMANIA,CERNAVODA-2,PHWR,Operational,2015,5204.74,8179.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
9,ROMANIA,CERNAVODA-2,PHWR,Operational,2016,5622.38,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
10,ROMANIA,CERNAVODA-2,PHWR,Operational,2017,5094.71,7963.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
11,ROMANIA,CERNAVODA-2,PHWR,Operational,2018,5530.84,8658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
12,ROMANIA,CERNAVODA-2,PHWR,Operational,2019,5075.54,7910.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
13,ROMANIA,CERNAVODA-2,PHWR,Operational,2020,5611.82,8737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
14,ROMANIA,CERNAVODA-2,PHWR,Operational,2021,4950.65,7742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
15,ROMANIA,CERNAVODA-2,PHWR,Operational,2022,5615.46,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
16,ROMANIA,CERNAVODA-2,PHWR,Operational,2023,4901.2,7686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
17,ROMANIA,CERNAVODA-2,PHWR,Operational,2024,5491.55,8640.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=443
