,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,CHANGJIANG-1,PWR,Operational,2015,43.73,1006.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
1,CHINA,CHANGJIANG-1,PWR,Operational,2016,3617.23,8185.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
2,CHINA,CHANGJIANG-1,PWR,Operational,2017,3405.19,7006.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
3,CHINA,CHANGJIANG-1,PWR,Operational,2018,3909.29,7711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
4,CHINA,CHANGJIANG-1,PWR,Operational,2019,4352.3,7741.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
5,CHINA,CHANGJIANG-1,PWR,Operational,2020,4519.05,7933.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
6,CHINA,CHANGJIANG-1,PWR,Operational,2021,4467.67,8044.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
7,CHINA,CHANGJIANG-1,PWR,Operational,2022,5195.39,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
8,CHINA,CHANGJIANG-1,PWR,Operational,2023,4645.34,7992.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
9,CHINA,CHANGJIANG-1,PWR,Operational,2024,4531.37,8203.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=939
