,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,PAKISTAN,CHASNUPP-1,PWR,Operational,2000,529.15,1860.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
1,PAKISTAN,CHASNUPP-1,PWR,Operational,2001,1581.75,5918.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
2,PAKISTAN,CHASNUPP-1,PWR,Operational,2002,1356.0,4790.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
3,PAKISTAN,CHASNUPP-1,PWR,Operational,2003,1809.8,6879.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
4,PAKISTAN,CHASNUPP-1,PWR,Operational,2004,1750.71,5949.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
5,PAKISTAN,CHASNUPP-1,PWR,Operational,2005,2155.19,7458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
6,PAKISTAN,CHASNUPP-1,PWR,Operational,2006,2532.91,8569.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
7,PAKISTAN,CHASNUPP-1,PWR,Operational,2007,1949.13,6669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
8,PAKISTAN,CHASNUPP-1,PWR,Operational,2008,1356.45,4795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
9,PAKISTAN,CHASNUPP-1,PWR,Operational,2009,2145.87,7379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
10,PAKISTAN,CHASNUPP-1,PWR,Operational,2010,2095.76,7160.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
11,PAKISTAN,CHASNUPP-1,PWR,Operational,2011,2061.67,7008.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
12,PAKISTAN,CHASNUPP-1,PWR,Operational,2012,2489.25,8370.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
13,PAKISTAN,CHASNUPP-1,PWR,Operational,2013,2189.64,7481.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
14,PAKISTAN,CHASNUPP-1,PWR,Operational,2014,2178.22,7434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
15,PAKISTAN,CHASNUPP-1,PWR,Operational,2015,1627.53,5831.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
16,PAKISTAN,CHASNUPP-1,PWR,Operational,2016,2326.46,8291.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
17,PAKISTAN,CHASNUPP-1,PWR,Operational,2017,2157.86,7391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
18,PAKISTAN,CHASNUPP-1,PWR,Operational,2018,2017.02,6950.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
19,PAKISTAN,CHASNUPP-1,PWR,Operational,2019,2335.2,7907.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
20,PAKISTAN,CHASNUPP-1,PWR,Operational,2020,2277.56,7682.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
21,PAKISTAN,CHASNUPP-1,PWR,Operational,2021,2209.57,7546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
22,PAKISTAN,CHASNUPP-1,PWR,Operational,2022,2330.6,8020.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
23,PAKISTAN,CHASNUPP-1,PWR,Operational,2023,2322.68,8131.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
24,PAKISTAN,CHASNUPP-1,PWR,Operational,2024,2168.94,7441.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=428
