,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1977,512.1,1570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
1,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1978,5356.6,5796.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
2,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1979,6029.01,7548.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
3,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1980,6381.81,7523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
4,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1981,5826.32,6743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
5,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1982,4171.61,5171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
6,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1983,4284.22,5990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
7,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1984,6521.55,7337.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
8,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1985,6736.2,7442.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
9,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1986,3839.67,4431.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
10,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1987,6406.62,7296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
11,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1988,5653.09,6524.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
12,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1989,6098.7,6807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
13,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1990,5176.91,7415.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
14,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1991,4369.87,7525.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
15,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1992,1259.27,1949.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
16,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1993,4638.4,7733.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
17,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1994,4317.27,6784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
18,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1995,4751.29,6901.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
19,UKRAINE,CHERNOBYL-1,LWGR,Permanent Shutdown,1996,4942.89,7454.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=568
