,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
5,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1970,1704.0,7863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
6,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1971,1162.5,5002.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
7,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1972,1596.0,6844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
8,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1973,1451.5,7089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
9,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1974,1431.2,7047.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
10,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1975,1271.9,6396.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
11,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1976,925.4,5339.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
12,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1977,819.1,4680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
13,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1978,1055.3,5849.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
14,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1979,657.0,3666.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
15,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1980,1261.0,7074.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
16,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1981,1269.9,7131.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
17,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1982,1416.6,7995.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
18,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1983,1340.0,7415.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
19,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1984,1510.0,8371.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
20,FRANCE,CHINON A-2,GCR,Permanent Shutdown,1985,710.0,3919.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=184
