,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,CHINON B-4,PWR,Operational,1987,13.0,236.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
1,FRANCE,CHINON B-4,PWR,Operational,1988,4410.0,5897.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
2,FRANCE,CHINON B-4,PWR,Operational,1989,4688.12,5664.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
3,FRANCE,CHINON B-4,PWR,Operational,1990,6098.01,7003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
4,FRANCE,CHINON B-4,PWR,Operational,1991,6339.97,7204.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
5,FRANCE,CHINON B-4,PWR,Operational,1992,6387.95,7544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
6,FRANCE,CHINON B-4,PWR,Operational,1993,6016.91,7359.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
7,FRANCE,CHINON B-4,PWR,Operational,1994,5935.09,7196.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
8,FRANCE,CHINON B-4,PWR,Operational,1995,6566.02,7805.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
9,FRANCE,CHINON B-4,PWR,Operational,1996,6574.24,7764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
10,FRANCE,CHINON B-4,PWR,Operational,1997,6345.37,7795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
11,FRANCE,CHINON B-4,PWR,Operational,1998,5940.13,7326.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
12,FRANCE,CHINON B-4,PWR,Operational,1999,5596.27,7059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
13,FRANCE,CHINON B-4,PWR,Operational,2000,5110.7,6445.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
14,FRANCE,CHINON B-4,PWR,Operational,2001,5764.99,7078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=214
