,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
12,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1989,2783.37,5226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
13,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1990,2968.5,5315.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
14,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1991,4391.39,7602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
15,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1992,4017.73,7260.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
16,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1993,4423.96,7854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
17,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1994,3645.42,6458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
18,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1995,4154.33,7168.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
19,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1996,4070.86,7051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
20,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1997,4990.46,8558.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
21,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1998,4295.12,7448.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
22,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,1999,4081.06,7156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
23,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2000,5226.14,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
24,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2001,4319.71,7282.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
25,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2002,4376.0,7367.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
26,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2003,5240.0,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
27,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2004,4541.87,7646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
28,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2005,4573.81,7745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
29,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2006,5201.81,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
30,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2007,4607.9,7834.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
31,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2008,3998.86,6822.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
32,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2009,5173.67,8668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
33,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2010,4401.44,7351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
34,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2011,4781.8,7945.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
35,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2012,5143.19,8575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
36,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2013,3848.54,6447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
37,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2014,4874.7,7990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
38,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
39,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
40,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
41,"TAIWAN, CHINA",CHINSHAN-1,BWR,Permanent Shutdown,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=554
