,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,CHOOZ B-2,PWR,Operational,1997,2960.25,2997.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
1,FRANCE,CHOOZ B-2,PWR,Operational,1998,86.28,172.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
2,FRANCE,CHOOZ B-2,PWR,Operational,1999,7308.7,5267.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
3,FRANCE,CHOOZ B-2,PWR,Operational,2000,7213.35,5347.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
4,FRANCE,CHOOZ B-2,PWR,Operational,2001,10159.53,7221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
5,FRANCE,CHOOZ B-2,PWR,Operational,2002,9814.83,7240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
6,FRANCE,CHOOZ B-2,PWR,Operational,2003,10472.75,7457.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
7,FRANCE,CHOOZ B-2,PWR,Operational,2004,10063.94,7061.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
8,FRANCE,CHOOZ B-2,PWR,Operational,2005,10321.55,7343.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
9,FRANCE,CHOOZ B-2,PWR,Operational,2006,9460.52,6845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
10,FRANCE,CHOOZ B-2,PWR,Operational,2007,11016.49,7725.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
11,FRANCE,CHOOZ B-2,PWR,Operational,2008,11038.88,7639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
12,FRANCE,CHOOZ B-2,PWR,Operational,2009,7821.91,5593.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
13,FRANCE,CHOOZ B-2,PWR,Operational,2010,10739.75,7529.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
14,FRANCE,CHOOZ B-2,PWR,Operational,2011,11507.74,8076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
15,FRANCE,CHOOZ B-2,PWR,Operational,2012,5773.74,4092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
16,FRANCE,CHOOZ B-2,PWR,Operational,2013,10676.71,7351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
17,FRANCE,CHOOZ B-2,PWR,Operational,2014,12405.66,8686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
18,FRANCE,CHOOZ B-2,PWR,Operational,2015,9504.22,6673.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
19,FRANCE,CHOOZ B-2,PWR,Operational,2016,11021.73,7791.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
20,FRANCE,CHOOZ B-2,PWR,Operational,2017,7691.34,5351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
21,FRANCE,CHOOZ B-2,PWR,Operational,2018,12031.86,8388.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
22,FRANCE,CHOOZ B-2,PWR,Operational,2019,6757.53,4846.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
23,FRANCE,CHOOZ B-2,PWR,Operational,2020,8328.39,6107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
24,FRANCE,CHOOZ B-2,PWR,Operational,2021,4693.11,3523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
25,FRANCE,CHOOZ B-2,PWR,Operational,2022,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
26,FRANCE,CHOOZ B-2,PWR,Operational,2023,7888.17,5559.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
27,FRANCE,CHOOZ B-2,PWR,Operational,2024,6948.69,4933.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=226
