,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1970,1314.0,5209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
4,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1971,1930.0,6905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
5,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1972,2139.7,7471.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
6,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1973,2028.2,7534.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
7,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1974,1475.1,5409.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
8,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1975,2015.7,6832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
9,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1976,1364.0,5536.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
10,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1977,2462.0,8145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
11,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1978,2012.0,6734.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
12,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1979,1686.0,5841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
13,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1980,1817.0,5921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
14,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1981,1824.9,6016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
15,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1982,2022.4,6931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
16,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1983,1902.0,6707.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
17,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1984,1918.0,6607.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
18,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1985,1688.57,5736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
19,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1986,1368.18,4634.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
20,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1987,825.92,2697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
21,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1988,1734.24,5869.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
22,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1989,1627.88,5818.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
23,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1990,1481.88,6496.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
24,FRANCE,CHOOZ-A (ARDENNES),PWR,Permanent Shutdown,1991,1332.68,6799.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=206
