,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,FRANCE,CIVAUX-2,PWR,Operational,2000,5121.76,4638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
2,FRANCE,CIVAUX-2,PWR,Operational,2001,9055.42,6555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
3,FRANCE,CIVAUX-2,PWR,Operational,2002,7491.29,6080.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
4,FRANCE,CIVAUX-2,PWR,Operational,2003,9084.75,6542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
5,FRANCE,CIVAUX-2,PWR,Operational,2004,11698.64,8042.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
6,FRANCE,CIVAUX-2,PWR,Operational,2005,9621.39,6748.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
7,FRANCE,CIVAUX-2,PWR,Operational,2006,11140.1,7811.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
8,FRANCE,CIVAUX-2,PWR,Operational,2007,9973.85,7141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
9,FRANCE,CIVAUX-2,PWR,Operational,2008,11321.5,8085.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
10,FRANCE,CIVAUX-2,PWR,Operational,2009,10293.33,7219.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
11,FRANCE,CIVAUX-2,PWR,Operational,2010,11094.03,7743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
12,FRANCE,CIVAUX-2,PWR,Operational,2011,10640.6,7717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
13,FRANCE,CIVAUX-2,PWR,Operational,2012,4561.72,3228.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
14,FRANCE,CIVAUX-2,PWR,Operational,2013,10581.57,7344.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
15,FRANCE,CIVAUX-2,PWR,Operational,2014,10918.2,8091.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
16,FRANCE,CIVAUX-2,PWR,Operational,2015,8920.04,6332.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
17,FRANCE,CIVAUX-2,PWR,Operational,2016,8169.29,5944.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
18,FRANCE,CIVAUX-2,PWR,Operational,2017,11390.13,7884.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
19,FRANCE,CIVAUX-2,PWR,Operational,2018,8867.46,6063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
20,FRANCE,CIVAUX-2,PWR,Operational,2019,10630.33,7243.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
21,FRANCE,CIVAUX-2,PWR,Operational,2020,9482.62,8184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
22,FRANCE,CIVAUX-2,PWR,Operational,2021,4424.47,3077.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
23,FRANCE,CIVAUX-2,PWR,Operational,2022,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
24,FRANCE,CIVAUX-2,PWR,Operational,2023,8513.71,6021.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
25,FRANCE,CIVAUX-2,PWR,Operational,2024,10975.93,7834.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=228
