,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1987,1628.83,3264.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
1,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1988,5860.74,7244.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
2,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1989,2861.9,3947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
3,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1990,3596.62,4604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
4,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1991,6048.01,6927.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
5,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1992,4935.26,5824.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
6,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1993,5879.18,6750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
7,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1994,7410.34,8217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
8,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1995,6109.18,7140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
9,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1996,5312.93,5833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
10,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1997,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
11,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1998,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
12,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,1999,4704.21,5270.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
13,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2000,6888.84,7542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
14,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2001,7877.25,8565.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
15,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2002,7657.46,7805.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
16,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2003,8700.78,8634.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
17,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2004,8000.42,7911.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
18,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2005,8688.67,8497.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
19,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2006,8233.3,7974.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
20,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2007,9250.44,8714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
21,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2008,8546.55,8160.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
22,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2009,8887.91,8390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
23,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2010,8612.0,8089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
24,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2011,8671.47,8184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
25,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2012,9373.73,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
26,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2013,8323.86,7861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
27,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2014,9098.05,8615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
28,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2015,8084.74,8167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
29,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2016,8915.5,8520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
30,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2017,8357.89,7934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
31,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2018,8398.48,8027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
32,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2019,8388.43,7899.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
33,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2020,9462.48,8783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
34,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2021,8286.14,7998.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
35,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2022,9224.08,8665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
36,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2023,8050.49,7645.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
37,UNITED STATES OF AMERICA,CLINTON-1,BWR,Operational,2024,9575.38,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=742
