,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SPAIN,COFRENTES,BWR,Operational,1984,350.2,1190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
1,SPAIN,COFRENTES,BWR,Operational,1985,6142.48,7300.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
2,SPAIN,COFRENTES,BWR,Operational,1986,6668.3,7487.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
3,SPAIN,COFRENTES,BWR,Operational,1987,6883.08,7615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
4,SPAIN,COFRENTES,BWR,Operational,1988,7142.15,7850.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
5,SPAIN,COFRENTES,BWR,Operational,1989,7052.24,7732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
6,SPAIN,COFRENTES,BWR,Operational,1990,7070.3,7560.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
7,SPAIN,COFRENTES,BWR,Operational,1991,6999.63,7660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
8,SPAIN,COFRENTES,BWR,Operational,1992,7712.12,8376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
9,SPAIN,COFRENTES,BWR,Operational,1993,7016.23,7579.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
10,SPAIN,COFRENTES,BWR,Operational,1994,6990.86,7553.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
11,SPAIN,COFRENTES,BWR,Operational,1995,8186.97,8683.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
12,SPAIN,COFRENTES,BWR,Operational,1996,7687.49,8215.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
13,SPAIN,COFRENTES,BWR,Operational,1997,6893.65,7668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
14,SPAIN,COFRENTES,BWR,Operational,1998,8174.1,8546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
15,SPAIN,COFRENTES,BWR,Operational,1999,7491.64,8004.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
16,SPAIN,COFRENTES,BWR,Operational,2000,7348.14,7808.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
17,SPAIN,COFRENTES,BWR,Operational,2001,8278.15,8424.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
18,SPAIN,COFRENTES,BWR,Operational,2002,7918.1,7875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
19,SPAIN,COFRENTES,BWR,Operational,2003,8002.51,7742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
20,SPAIN,COFRENTES,BWR,Operational,2004,8813.91,8457.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
21,SPAIN,COFRENTES,BWR,Operational,2005,6765.14,6768.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
22,SPAIN,COFRENTES,BWR,Operational,2006,8872.52,8492.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
23,SPAIN,COFRENTES,BWR,Operational,2007,6008.35,5898.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
24,SPAIN,COFRENTES,BWR,Operational,2008,7856.29,7643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
25,SPAIN,COFRENTES,BWR,Operational,2009,7747.0,7618.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
26,SPAIN,COFRENTES,BWR,Operational,2010,9201.9,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
27,SPAIN,COFRENTES,BWR,Operational,2011,7599.08,7564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
28,SPAIN,COFRENTES,BWR,Operational,2012,9064.14,8686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
29,SPAIN,COFRENTES,BWR,Operational,2013,8012.79,7800.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
30,SPAIN,COFRENTES,BWR,Operational,2014,9114.79,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
31,SPAIN,COFRENTES,BWR,Operational,2015,7438.67,7325.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
32,SPAIN,COFRENTES,BWR,Operational,2016,9187.25,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
33,SPAIN,COFRENTES,BWR,Operational,2017,7060.25,7030.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
34,SPAIN,COFRENTES,BWR,Operational,2018,8816.13,8436.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
35,SPAIN,COFRENTES,BWR,Operational,2019,8074.05,7854.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
36,SPAIN,COFRENTES,BWR,Operational,2020,8902.95,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
37,SPAIN,COFRENTES,BWR,Operational,2021,8078.38,7887.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
38,SPAIN,COFRENTES,BWR,Operational,2022,8344.99,7944.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
39,SPAIN,COFRENTES,BWR,Operational,2023,7965.62,7784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
40,SPAIN,COFRENTES,BWR,Operational,2024,7924.87,8032.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=140
