,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1984,1458.42,2393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
1,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1985,5176.39,6624.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
2,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1986,5183.2,6133.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
3,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1987,5397.98,5979.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
4,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1988,6000.36,6020.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
5,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1989,6127.94,6680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
6,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1990,5791.26,5752.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
7,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1991,4272.55,4194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
8,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1992,5705.42,5505.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
9,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1993,7141.96,6757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
10,UNITED STATES OF AMERICA,COLUMBIA,BWR,Operational,1994,6753.81,6500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=702
