,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,1993,4131.71,4600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
1,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,1994,5263.15,5697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
2,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,1995,9166.58,8382.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
3,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,1996,7370.37,6911.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
4,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,1997,8062.05,7554.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
5,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,1998,9345.3,8741.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
6,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,1999,8756.02,7901.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
7,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2000,8868.05,7927.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
8,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2001,9877.95,8731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
9,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2002,8793.82,7888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
10,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2003,8123.39,7307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
11,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2004,10038.85,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
12,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2005,9225.37,7979.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
13,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2006,9598.2,8260.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
14,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2007,10249.0,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
15,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2008,9575.91,8241.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
16,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2009,9500.6,8155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
17,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2010,10531.75,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
18,UNITED STATES OF AMERICA,COMANCHE PEAK-2,PWR,Operational,2011,9751.59,8099.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=730
