,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1975,4450.8,5955.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
1,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1976,6804.9,7298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
2,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1977,4785.8,6658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
3,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1978,6286.9,6438.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
4,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1979,5660.2,5666.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
5,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1980,6461.3,6470.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
6,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1981,6781.5,6663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
7,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1982,5352.7,5487.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
8,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1983,5286.7,5628.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
9,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1984,7550.76,8016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
10,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1985,2116.06,2489.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
11,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1986,6650.07,7464.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
12,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1987,5033.77,5917.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
13,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1988,7467.79,8379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
14,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1989,5433.04,6069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
15,UNITED STATES OF AMERICA,COOK-1,PWR,Operational,1990,6301.64,6939.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=653
