,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1974,1885.6,3897.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
1,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1975,3363.2,7320.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
2,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1976,3642.6,6626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
3,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1977,4540.1,7546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
4,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1978,4886.8,7966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
5,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1979,4995.0,7670.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
6,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1980,3787.5,6240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
7,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1981,3851.1,6239.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
8,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1982,5276.1,7412.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
9,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1983,3343.3,5544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
10,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1984,3469.95,5901.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
11,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1985,1067.75,1884.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
12,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1986,4052.14,6546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
13,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1987,5522.13,8291.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
14,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1988,4200.61,5887.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
15,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1989,4790.9,6594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
16,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1990,5111.39,6908.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
17,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1991,4803.81,6830.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
18,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1992,6227.93,8436.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
19,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1993,3712.86,5041.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
20,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1994,2227.26,3033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
21,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1995,4127.76,5663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
22,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1996,6338.9,8540.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
23,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1997,5455.7,7336.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
24,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1998,4869.91,6544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
25,UNITED STATES OF AMERICA,COOPER,BWR,Operational,1999,6510.41,8563.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
26,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2000,4735.94,6414.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
27,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2001,5206.54,7009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
28,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2002,6318.15,8478.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
29,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2003,4492.33,6236.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
30,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2004,6171.77,8299.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
31,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2005,5891.92,7774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
32,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2006,5910.48,7823.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
33,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2007,6671.25,8685.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
34,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2008,5964.14,7825.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
35,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2009,5734.58,7494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
36,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2010,6792.88,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
37,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2011,5768.1,7376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
38,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2012,5822.5,7657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
39,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2013,6801.93,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
40,UNITED STATES OF AMERICA,COOPER,BWR,Operational,2014,5915.35,7726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=642
