,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,CRUAS-2,PWR,Operational,1984,146.0,651.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
1,FRANCE,CRUAS-2,PWR,Operational,1985,6103.2,8330.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
2,FRANCE,CRUAS-2,PWR,Operational,1986,4955.0,6258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
3,FRANCE,CRUAS-2,PWR,Operational,1987,5559.9,6761.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
4,FRANCE,CRUAS-2,PWR,Operational,1988,5698.0,7176.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
5,FRANCE,CRUAS-2,PWR,Operational,1989,6298.51,7697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
6,FRANCE,CRUAS-2,PWR,Operational,1990,6001.78,7114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
7,FRANCE,CRUAS-2,PWR,Operational,1991,4099.88,4838.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
8,FRANCE,CRUAS-2,PWR,Operational,1992,5946.87,6910.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
9,FRANCE,CRUAS-2,PWR,Operational,1993,5441.04,6463.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
10,FRANCE,CRUAS-2,PWR,Operational,1994,5566.06,6765.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
11,FRANCE,CRUAS-2,PWR,Operational,1995,5366.77,6581.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
12,FRANCE,CRUAS-2,PWR,Operational,1996,6521.86,7870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
13,FRANCE,CRUAS-2,PWR,Operational,1997,5176.08,6596.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
14,FRANCE,CRUAS-2,PWR,Operational,1998,6003.57,7396.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
15,FRANCE,CRUAS-2,PWR,Operational,1999,6393.81,7787.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
16,FRANCE,CRUAS-2,PWR,Operational,2000,6420.91,7755.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
17,FRANCE,CRUAS-2,PWR,Operational,2001,5914.4,7053.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
18,FRANCE,CRUAS-2,PWR,Operational,2002,6547.44,7776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
19,FRANCE,CRUAS-2,PWR,Operational,2003,5727.93,6927.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
20,FRANCE,CRUAS-2,PWR,Operational,2004,6612.96,7661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
21,FRANCE,CRUAS-2,PWR,Operational,2005,6504.12,7684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
22,FRANCE,CRUAS-2,PWR,Operational,2006,6509.49,7736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
23,FRANCE,CRUAS-2,PWR,Operational,2007,4617.9,5602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
24,FRANCE,CRUAS-2,PWR,Operational,2008,5597.43,6633.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
25,FRANCE,CRUAS-2,PWR,Operational,2009,5862.16,6886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
26,FRANCE,CRUAS-2,PWR,Operational,2010,5305.44,6036.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
27,FRANCE,CRUAS-2,PWR,Operational,2011,5791.15,6577.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
28,FRANCE,CRUAS-2,PWR,Operational,2012,6761.59,7665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=199
