,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1977,4037.7,5916.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
1,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1978,2603.0,3627.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
2,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1979,3761.8,5153.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
3,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1980,3353.5,4663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
4,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1981,4083.7,5444.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
5,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1982,4915.7,6651.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
6,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1983,3772.3,5149.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
7,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1984,6478.93,8295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
8,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1985,2863.58,4171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
9,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1986,2653.21,3659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
10,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1987,3620.78,5263.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
11,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1988,5768.06,7375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
12,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1989,2930.0,4190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
13,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1990,4142.92,5421.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
14,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1991,5457.19,7136.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
15,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1992,5315.9,6633.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
16,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1993,6080.0,7409.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
17,UNITED STATES OF AMERICA,CRYSTAL RIVER-3,PWR,Permanent Shutdown,1994,5939.86,7292.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=645
