,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,DAMPIERRE-2,PWR,Operational,1980,50.0,310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
1,FRANCE,DAMPIERRE-2,PWR,Operational,1981,5818.4,7306.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
2,FRANCE,DAMPIERRE-2,PWR,Operational,1982,4110.8,4848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
3,FRANCE,DAMPIERRE-2,PWR,Operational,1983,5191.0,6139.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
4,FRANCE,DAMPIERRE-2,PWR,Operational,1984,5781.0,6884.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
5,FRANCE,DAMPIERRE-2,PWR,Operational,1985,6056.9,7400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
6,FRANCE,DAMPIERRE-2,PWR,Operational,1986,5658.5,6983.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
7,FRANCE,DAMPIERRE-2,PWR,Operational,1987,4855.97,5715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
8,FRANCE,DAMPIERRE-2,PWR,Operational,1988,4583.0,6153.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
9,FRANCE,DAMPIERRE-2,PWR,Operational,1989,5485.29,6927.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
10,FRANCE,DAMPIERRE-2,PWR,Operational,1990,4869.51,6292.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
11,FRANCE,DAMPIERRE-2,PWR,Operational,1991,4201.95,5407.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
12,FRANCE,DAMPIERRE-2,PWR,Operational,1992,5049.75,6429.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
13,FRANCE,DAMPIERRE-2,PWR,Operational,1993,5976.57,7625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
14,FRANCE,DAMPIERRE-2,PWR,Operational,1994,4444.99,5328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
15,FRANCE,DAMPIERRE-2,PWR,Operational,1995,5562.04,6952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
16,FRANCE,DAMPIERRE-2,PWR,Operational,1996,5761.0,7437.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
17,FRANCE,DAMPIERRE-2,PWR,Operational,1997,4966.59,6204.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
18,FRANCE,DAMPIERRE-2,PWR,Operational,1998,5855.92,7192.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
19,FRANCE,DAMPIERRE-2,PWR,Operational,1999,5312.9,6688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
20,FRANCE,DAMPIERRE-2,PWR,Operational,2000,5866.14,7121.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
21,FRANCE,DAMPIERRE-2,PWR,Operational,2001,5355.88,6593.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
22,FRANCE,DAMPIERRE-2,PWR,Operational,2002,4307.55,5196.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
23,FRANCE,DAMPIERRE-2,PWR,Operational,2003,6268.32,7631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
24,FRANCE,DAMPIERRE-2,PWR,Operational,2004,5983.93,7286.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=183
