,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,CANADA,DARLINGTON-1,PHWR,Operational,1991,2146.79,2703.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
2,CANADA,DARLINGTON-1,PHWR,Operational,1992,973.98,1152.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
3,CANADA,DARLINGTON-1,PHWR,Operational,1993,6016.23,7213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
4,CANADA,DARLINGTON-1,PHWR,Operational,1994,6326.65,7446.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
5,CANADA,DARLINGTON-1,PHWR,Operational,1995,6853.27,8046.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
6,CANADA,DARLINGTON-1,PHWR,Operational,1996,5745.25,6827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
7,CANADA,DARLINGTON-1,PHWR,Operational,1997,4765.08,7236.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
8,CANADA,DARLINGTON-1,PHWR,Operational,1998,6427.46,7717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
9,CANADA,DARLINGTON-1,PHWR,Operational,1999,7175.13,8705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
10,CANADA,DARLINGTON-1,PHWR,Operational,2000,6280.57,7615.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
11,CANADA,DARLINGTON-1,PHWR,Operational,2001,6980.8,8502.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
12,CANADA,DARLINGTON-1,PHWR,Operational,2002,6532.91,7887.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
13,CANADA,DARLINGTON-1,PHWR,Operational,2003,6562.38,7846.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
14,CANADA,DARLINGTON-1,PHWR,Operational,2004,5612.12,6540.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
15,CANADA,DARLINGTON-1,PHWR,Operational,2005,7366.26,8553.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
16,CANADA,DARLINGTON-1,PHWR,Operational,2006,6388.89,7520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
17,CANADA,DARLINGTON-1,PHWR,Operational,2007,7412.62,8647.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
18,CANADA,DARLINGTON-1,PHWR,Operational,2008,6125.27,7125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
19,CANADA,DARLINGTON-1,PHWR,Operational,2009,6870.24,8038.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
20,CANADA,DARLINGTON-1,PHWR,Operational,2010,7244.93,8660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
21,CANADA,DARLINGTON-1,PHWR,Operational,2011,6256.8,7313.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
22,CANADA,DARLINGTON-1,PHWR,Operational,2012,7256.4,8468.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
23,CANADA,DARLINGTON-1,PHWR,Operational,2013,7454.01,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
24,CANADA,DARLINGTON-1,PHWR,Operational,2014,5818.57,6848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
25,CANADA,DARLINGTON-1,PHWR,Operational,2015,5480.95,6449.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
26,CANADA,DARLINGTON-1,PHWR,Operational,2016,7570.79,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
27,CANADA,DARLINGTON-1,PHWR,Operational,2017,4638.42,6181.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
28,CANADA,DARLINGTON-1,PHWR,Operational,2018,7477.9,8606.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
29,CANADA,DARLINGTON-1,PHWR,Operational,2019,7619.17,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
30,CANADA,DARLINGTON-1,PHWR,Operational,2020,7565.81,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
31,CANADA,DARLINGTON-1,PHWR,Operational,2021,5603.75,6621.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
32,CANADA,DARLINGTON-1,PHWR,Operational,2022,943.49,1080.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
33,CANADA,DARLINGTON-1,PHWR,Operational,2023,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
34,CANADA,DARLINGTON-1,PHWR,Operational,2024,586.14,865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=43
